iso3,g.whoregion,year,pop,inc,inc.lo,inc.hi,inc.sd,inc.h,inc.h.lo,inc.h.hi,inc.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort,mort.lo,mort.hi,mort.sd,inc.num,inc.lo.num,inc.hi.num,inc.h.num,inc.h.lo.num,inc.h.hi.num,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.num,mort.lo.num,mort.hi.num,source.inc,source.mort
ABW,AMR,2000,89101,8.07365182697802,6.90801329588583,9.32882113858572,0.617881517370767,,,,0.617881517370767,,,,,0.642915646280341,0.39370668073688,0.95224312194662,0.143102135071911,0,0,0,0,0.642915646280341,0.39370668073688,0.95224312194662,0.143102135071911,7.19370451435569,6.15510892676723,8.31207292269126,,,,0.572844269992247,0.350796589603367,0.848458144085658,0,0,0,0.572844269992247,0.350796589603367,0.848458144085658,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2001,90691,8.66022482092328,7.40989916884589,10.0065853512834,0.662772307723721,,,,0.662772307723721,,,,,0.684684633332843,0.419285030544016,1.01410850450013,0.152399204231117,0,0,0,0,0.684684633332843,0.419285030544016,1.01410850450013,0.152399204231117,7.85404449234353,6.72011165521803,9.07507232093243,,,,0.620947340815888,0.380253787050674,0.919705143816216,0,0,0,0.620947340815888,0.380253787050674,0.919705143816216,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2002,91781,9.22483222521068,7.89299072271011,10.6589690711034,0.705982058051838,,,,0.705982058051838,,,,,0.72500511643535,0.443976349011737,1.07382846004756,0.1613738609415,0,0,0,0,0.72500511643535,0.443976349011737,1.07382846004756,0.1613738609415,8.46664326462061,7.24426581521057,9.78290840314941,,,,0.665416945915529,0.407485932886462,0.985570498916249,0,0,0,0.665416945915529,0.407485932886462,0.985570498916249,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2003,92701,9.75748588902121,8.34874186251849,11.2744313510136,0.746746369057746,,,,0.746746369057746,,,,,0.763260397288383,0.467402984743917,1.13048957722646,0.169888838605393,0,0,0,0,0.763260397288383,0.467402984743917,1.13048957722646,0.169888838605393,9.04528699398155,7.73936719397327,10.4515106067031,,,,0.707550020890303,0.433287240887458,1.0479751429847,0,0,0,0.707550020890303,0.433287240887458,1.0479751429847,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2004,93540,10.2481976615632,8.76860649538915,11.841431246091,0.784300841446162,,,,0.784300841446162,,,,,0.798833777590819,0.489187286415873,1.1831784447469,0.177806870624766,0,0,0,0,0.798833777590819,0.489187286415873,1.1831784447469,0.177806870624766,9.58616409262622,8.20215451578701,11.0764747875935,,,,0.747229115558452,0.457585787713407,1.10674511721625,0,0,0,0.747229115558452,0.457585787713407,1.10674511721625,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2005,94483,10.6869793920449,9.14403853009072,12.3484278130821,0.817881075921805,,,,0.817881075921805,,,,,0.831108559041538,0.508951602762704,1.23098165138076,0.184990690401588,0,0,0,0,0.831108559041538,0.508951602762704,1.23098165138076,0.184990690401588,10.0973787389858,8.63956192438561,11.6671650506344,,,,0.785256299839217,0.480872742838285,1.16306839367409,0,0,0,0.785256299839217,0.480872742838285,1.16306839367409,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2006,95606,11.0638429296748,9.46649187652892,12.7838801098826,0.846722673189395,,,,0.846722673189395,,,,,0.859468043339419,0.526318282563335,1.27298578594525,0.191303031337829,0,0,0,0,0.859468043339419,0.526318282563335,1.27298578594525,0.191303031337829,10.5776976713449,9.05053422347424,12.2221564178544,,,,0.821703017515085,0.503191857227502,1.21705079051082,0,0,0,0.821703017515085,0.503191857227502,1.21705079051082,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2007,96787,11.368800123661,9.72742044512367,13.1362471949085,0.87006123395365,,,,0.87006123395365,,,,,0.883295532183344,0.540909674621281,1.30827743728301,0.196606626835458,0,0,0,0,0.883295532183344,0.540909674621281,1.30827743728301,0.196606626835458,11.0035205756878,9.41487842622185,12.7141795725361,,,,0.854915246734293,0.523530246775699,1.26624248322311,0,0,0,0.854915246734293,0.523530246775699,1.26624248322311,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2008,97996,11.591862823212,9.91827814607689,13.3939881263553,0.887132358919288,,,,0.887132358919288,,,,,0.901974327272186,0.5523481277421,1.33594319423877,0.200764210296444,0,0,0,0,0.901974327272186,0.5523481277421,1.33594319423877,0.200764210296444,11.3595618922348,9.71951585202951,13.1255726043031,,,,0.883898761753652,0.541279071262148,1.30917089262622,0,0,0,0.883898761753652,0.541279071262148,1.30917089262622,"Case notifications,
Standard adjustment",Indirect
ABW,AMR,2009,99212,11.7230428775361,10.0305188885311,13.5455619613474,0.897171648791029,,,,0.897171648791029,,,,,0.914887730304829,0.560255990707583,1.35506964563271,0.203638515122756,0,0,0,0,0.914887730304829,0.560255990707583,1.35506964563271,0.203638515122756,11.6306652996611,9.95147839968947,13.438822933092,,,,0.907678414990027,0.555841173500808,1.34439169682513,0,0,0,0.907678414990027,0.555841173500808,1.34439169682513,"Case notifications,
Standard adjustment",Indirect
