iso3,cfr,cfr.sd,cfr.lo,cfr.hi
ABW,0.0826552002788692,0.0193414691656022,0.0488428553243609,0.124282813832796
AFG,0.1709864019807,0.051546338313959,0.0827321761858474,0.282962464390141
AGO,0.192206605807837,0.0549426357541023,0.096950571407217,0.310515776907478
AIA,0.44717001531674,0.137825751878691,0.190974084634341,0.719997515275953
ALB,0.0334766180434147,0.00950865760231438,0.0174345950765841,0.0544444063172195
AND,0.0826552002788703,0.0193414691656023,0.0488428553243619,0.124282813832797
ARE,0.826290981729672,0.211036511162593,0.252258161366707,0.99996637239221
ARG,0.0831576987163298,0.00945241070775993,0.0655789958510547,0.102587979067186
ARM,0.0935868816710758,0.0156416571362112,0.0652321196600311,0.126388781269766
ASM,0.0349898770330214,0.0210467588198786,0.00633761983235933,0.0864039607608438
ATG,0.241968081845157,0.0200667926182029,0.203742486811371,0.282344338450729
AUS,0.0363788167712123,0.00288186109747868,0.0309416627306586,0.0422320360533712
AUT,0.0972002450948642,0.00763188115192438,0.0827571926789903,0.112656566642948
AZE,0.144798980038496,0.0190531083762757,0.109494686720355,0.184057116240868
BDI,0.234684600977496,0.0675868570855925,0.116517300657217,0.37902313783849
BEL,0.0428640052889485,0.00464543690702282,0.0342240578029512,0.0524147406476082
BEN,0.250929510901952,0.0688362244223266,0.12934876465767,0.396870486793787
BFA,0.167641516408897,0.0474764033073418,0.0856312240181117,0.270257683287874
BGD,0.116191029185928,0.0277221455017714,0.0676121275490357,0.175702999880526
BGR,0.0834012775598442,0.0119257811366926,0.0615401444440203,0.108201002778439
BHR,0.0427694721189561,0.00462949509479444,0.0341586414628727,0.0522869466760555
BHS,0.0833742037684141,0.0187992166950894,0.0503548873871824,0.123705657425088
BIH,0.116067640640986,0.0161129538101577,0.0863872899307982,0.149434844652836
BLR,0.170644360712835,0.0248866126794866,0.124710342502148,0.222058931920953
BLZ,0.135627927887508,0.0185084875530581,0.101437569150079,0.173860682110654
BMU,0.0826552002788701,0.0472945292950003,0.0160300579345743,0.196219575435768
BOL,0.150512431155048,0.0377801527976475,0.0843701346182393,0.231562165197312
BRA,0.0790791747823211,0.00688002091251093,0.0661222756686539,0.0930728282021215
BRB,,,,
BRN,0.0875368767514634,0.00967328523040585,0.0695146275070378,0.107390726812389
BTN,0.164770153100889,0.0367062170122067,0.0994451624165015,0.242628009466574
BWA,0.352640397027038,0.0615963075988649,0.237144071422804,0.477574729892205
CAF,0.242948235546642,0.0651460250274321,0.12777206692304,0.381086261302574
CAN,0.0448042869860769,0.00363546650884799,0.0379493634873152,0.0521917369134975
CHE,0.0525157495068028,0.00497627163711695,0.0431921441974101,0.0626830425822105
CHL,0.124193129634221,0.010324213128867,0.104669340261968,0.145113105234013
CHN,0.0409510572434512,0.00379774072428725,0.0338326179433474,0.0487080619590553
CIV,0.227524007274496,0.0634742010312392,0.116253734816519,0.362959714322139
CMR,0.282921384903159,0.0761501033731836,0.147072709666891,0.44293983959349
COD,0.167004344298666,0.0456535017603246,0.0877516212602602,0.265387733961413
COG,0.278203845771209,0.0781582692091518,0.139643510036516,0.443089494071103
COK,0.432518481882549,0.237089181037203,0.0454268096878149,0.890224777452307
COL,0.1238939707475,0.0174351284251347,0.0917846496654161,0.16000141693408
COM,0.258480699819035,0.075852308344294,0.125432003570525,0.41978864638805
CPV,0.175890738733916,0.0281363261028082,0.124253567567578,0.234265061005785
CRI,0.131232063967579,0.0207009088013792,0.0933875178138235,0.174341889351664
CUB,0.0966541681126337,0.0121148146587261,0.0742294766437413,0.121649806319034
CUW,0.0826552002788695,0.0193414691656022,0.0488428553243612,0.124282813832796
CYM,0.0826552002788689,0.0193414691656022,0.0488428553243606,0.124282813832795
