iso3,scenario,hiv,measure,year,best,lo,hi
BRA,Baseline,a,inc,2021,46.5939,39.6753,54.4027
BRA,Baseline,pos,inc,2021,5.3502,4.4759,6.1984
BRA,COVID,a,inc,2021,48.3934,41.7862,55.9818
BRA,COVID,pos,inc,2021,5.7673,4.81,6.6934
BRA,Baseline,a,mort,2021,3.3979,3.0877,3.7392
BRA,Baseline,pos,mort,2021,0.88963,0.61699,1.2749
BRA,COVID,a,mort,2021,3.8056,3.4762,4.1524
BRA,COVID,pos,mort,2021,1.0159,0.69605,1.4347
BRA,Baseline,a,inc,2022,46.9817,39.9348,54.8242
BRA,Baseline,pos,inc,2022,5.5071,4.5914,6.3958
BRA,COVID,a,inc,2022,48.6949,41.7101,56.4013
BRA,COVID,pos,inc,2022,5.7204,4.7471,6.6432
BRA,Baseline,a,mort,2022,3.434,3.1216,3.7938
BRA,Baseline,pos,mort,2022,0.9151,0.63386,1.3062
BRA,COVID,a,mort,2022,3.5844,3.267,3.9466
BRA,COVID,pos,mort,2022,0.96061,0.65958,1.3656
BRA,Baseline,a,inc,2023,47.3713,40.1619,55.3721
BRA,Baseline,pos,inc,2023,5.6627,4.7067,6.5937
BRA,COVID,a,inc,2023,48.7295,41.415,56.6556
BRA,COVID,pos,inc,2023,5.8009,4.8054,6.76
BRA,Baseline,a,mort,2023,3.4746,3.1557,3.8463
BRA,Baseline,pos,mort,2023,0.93775,0.65068,1.3372
BRA,COVID,a,mort,2023,3.5808,3.2668,3.9612
BRA,COVID,pos,mort,2023,0.9671,0.66674,1.3691
BRA,Baseline,a,inc,2024,47.8058,40.3428,55.9233
BRA,Baseline,pos,inc,2024,5.8104,4.8217,6.7921
BRA,COVID,a,inc,2024,48.9199,41.2959,57.0634
BRA,COVID,pos,inc,2024,5.9201,4.8915,6.9154
BRA,Baseline,a,mort,2024,3.5168,3.19,3.895
BRA,Baseline,pos,mort,2024,0.96299,0.66747,1.368
BRA,COVID,a,mort,2024,3.5998,3.2841,3.9955
BRA,COVID,pos,mort,2024,0.98521,0.68101,1.3911
CHN,Baseline,a,inc,2019,57.7934,49.6478,66.4895
CHN,COVID,a,inc,2019,57.7934,49.6478,66.4895
CHN,Baseline,a,mort,2019,2.3007,2.0843,2.5794
CHN,COVID,a,mort,2019,2.3007,2.0843,2.5794
CHN,Baseline,a,inc,2020,57.1555,49.0895,65.8407
CHN,COVID,a,inc,2020,57.258,49.2459,65.8118
CHN,Baseline,a,mort,2020,2.2746,2.0615,2.5504
CHN,COVID,a,mort,2020,2.7852,2.5232,3.117
CHN,Baseline,a,inc,2021,56.6022,48.5371,65.2069
CHN,COVID,a,inc,2021,59.2138,50.625,68.6495
CHN,Baseline,a,mort,2021,2.2492,2.0401,2.5206
CHN,COVID,a,mort,2021,3.8797,3.4756,4.307
CHN,Baseline,a,inc,2022,55.9931,47.9901,64.585
CHN,COVID,a,inc,2022,62.5165,51.8482,74.2792
CHN,Baseline,a,mort,2022,2.2263,2.0151,2.4917
CHN,COVID,a,mort,2022,3.8109,3.3288,4.2425
CHN,Baseline,a,inc,2023,55.4399,47.361,64.026
CHN,COVID,a,inc,2023,59.7605,49.4164,70.8599
CHN,Baseline,a,mort,2023,2.2021,1.99,2.4634
CHN,COVID,a,mort,2023,2.4507,2.1172,2.7732
CHN,Baseline,a,inc,2024,54.8915,46.7354,63.4896
CHN,COVID,a,inc,2024,56.9679,47.6093,67.5786
CHN,Baseline,a,mort,2024,2.1794,1.9652,2.4357
CHN,COVID,a,mort,2024,2.312,2.0378,2.6057
COL,Baseline,a,inc,2019,34.9433,27.2134,45.0094
COL,Baseline,pos,inc,2019,4.3756,3.4123,5.6046
COL,COVID,a,inc,2019,34.9433,27.2134,45.0094
COL,COVID,pos,inc,2019,4.3756,3.4123,5.6046
COL,Baseline,a,mort,2019,3.1982,2.8198,3.5338
COL,Baseline,pos,mort,2019,1.005,0.71815,1.401
