group_name,year,inc,inc.sd,inc.new,inc.new.sd,inc.ret,inc.ret.sd,e_inc_rr_num,inc.rr.sd,inc.new.rr,inc.new.rr.sd,inc.ret.rr,inc.ret.rr.sd,e_inc_rr_num_lo,e_inc_rr_num_hi,inc.new.rr.lo,inc.new.rr.hi,inc.ret.rr.lo,inc.ret.rr.hi,prop.rr,e_rr_prop_new,e_rr_prop_ret,prop.rr.sd,e_rr_prop_new_se,prop.ret.rr.sd,prop.rr.lo,prop.rr.hi,e_rr_prop_new_lo,e_rr_prop_new_hi,e_rr_prop_ret_lo,e_rr_prop_ret_hi,group_type
AMR,2015,269488.293384809,9782.69774763542,253444.837662342,18009.8309712574,16043.4557224673,1400.75960157592,10364.2471061543,1274.77332159627,8420.75393487556,1182.61956814219,1943.49317127877,432.046966767928,7865.69139582563,12862.802816483,6102.81958131687,10738.6882884342,1096.68111641363,2790.30522614391,0.0384589882401866,0.0332251941390667,0.121139310937674,0.0049320669958197,0.00522948475548853,0.0289323474321267,0.02879213692838,0.0481258395519932,0.0229754040183092,0.0434749842598243,0.0644319099707054,0.177846711904642,g_whoregion
AMR,2016,273833.601910961,9879.99145093012,257556.645623563,18340.4918153834,16276.9562873979,1426.18735713465,10439.0598645707,1331.40133965574,8520.70329362127,1226.64552217712,1918.35657094945,480.734575067863,7829.51323884547,13048.606490296,6116.47807015412,10924.9285170884,976.116803816436,2860.59633808246,0.0381219097719244,0.0330828322173246,0.117857204816278,0.00505289007567047,0.00531342137190382,0.0312879628291993,0.0282182452236103,0.0480255743202385,0.0226685263283932,0.0434971381062561,0.0565327976710471,0.179181611961508,g_whoregion
AMR,2017,283290.741484208,10352.6966922266,266421.848631862,18976.0877130182,16868.8928523458,1495.21418087374,10718.9239308824,1450.20707395432,8773.1731879524,1324.42602238279,1945.75074293002,558.075426672646,7876.51806593194,13561.3297958329,6177.29818408213,11369.0481918227,851.922906651632,3039.5785792084,0.0378371840700623,0.0329296310832039,0.115345491844739,0.00530260643952078,0.00549668256302262,0.034626877836563,0.0274440754486016,0.0482302926915231,0.0221561332596795,0.0437031289067282,0.0474768112850751,0.183214172404402,g_whoregion
AMR,2018,288653.902303252,10726.7883264663,271346.125531462,19422.7504520333,17307.77677179,1554.05170582506,10913.9402028725,1581.27311494014,8945.47351533008,1433.39907149871,1968.46668754241,637.737351775835,7814.64489758982,14013.2355081552,6136.01133519261,11754.9356954676,718.501478061776,3218.43189702305,0.0378097788243535,0.0329670213562451,0.113733075801557,0.00565541491822377,0.00578565120532854,0.0382358031181316,0.0267251655846349,0.048894392064072,0.0216271449938012,0.044306897718689,0.0387909016900188,0.188675249913094,g_whoregion
AMR,2019,290211.3929396,10781.4724396848,272725.777606728,19737.9734918837,17485.6153328715,1581.17887776988,10993.0594078865,1693.32966374213,9029.19338971977,1527.37289107069,1963.86601816673,704.814974462703,7674.13326695193,14311.9855488211,6035.54252322122,12022.8442562183,582.428668219834,3345.30336811363,0.0378794894870803,0.0331072239263716,0.112313234666374,0.00600211475349491,0.00609143655225957,0.0415680796637068,0.0261153445702303,0.0496436344039304,0.0211680082839429,0.0450464395688004,0.0308397985255083,0.193786670807239,g_whoregion
AMR,2020,284846.252694186,10760.501425311,267564.071667848,19561.0057511661,17282.1810263371,1573.66072369536,10890.176476853,1816.43848015813,8949.71049824965,1631.7244406813,1940.46597860338,774.673888357426,7329.9570557431,14450.395897963,5751.53059451431,12147.890401985,422.105157422831,3458.82679978394,0.0382317702053285,0.033448849998664,0.112281313084628,0.00653841405459566,0.00657045283750567,0.0459762009878256,0.025416478658321,0.051047061752336,0.0205707624371529,0.0463269375601752,0.0221679591484902,0.202394667020767,g_whoregion
AMR,2021,309068.013282462,11528.8377588852,290359.471375225,21119.6648894406,18708.5419072369,1689.84696138629,11951.4562463238,2100.5015043982,9858.53029958799,1883.7877362309,2092.92594673576,906.706689895575,7834.47329770329,16068.4391949442,6166.30633657543,13550.7542626006,315.780834540433,3870.07105893109,0.0386693405098545,0.0339528455982344,0.111870072885058,0.00694763014656759,0.00694191627888363,0.0495070271798517,0.025051985422582,0.052286695597127,0.0203466896916225,0.0475590015048463,0.0148362996125488,0.208903846157567,g_whoregion
EMR,2015,816928.085123486,110605.840058841,802505.444490969,231972.181608455,14422.6406325168,4497.31823077784,37974.0365896315,7694.77249123857,36103.5626352636,7515.22323106411,1870.47395436782,554.49936596249,22892.2825068039,53055.7906724591,21373.725102378,50833.4001681493,783.655197081339,2957.2927116543,0.0464839406076869,0.0449885578759708,0.129690117227959,0.0113282623694926,0.0160253480921066,0.0557992628901698,0.0242805463634813,0.0686873348518924,0.0135788756154419,0.0763982401364997,0.0203235619632256,0.239056672492691,g_whoregion
EMR,2016,820322.380747098,94584.7467128378,805862.223615019,226231.292041352,14460.157132079,4377.36147549635,38683.1669948183,7974.19965696345,37000.7401704078,7864.94811564378,1682.42682441046,461.504865416693,23053.7356671699,54312.5983224666,21585.441863746,52416.0384770696,777.877288193739,2586.97636062717,0.0471560546228034,0.0459144740703021,0.116349138466697,0.0111380946725414,0.0161676988536641,0.0475303129837297,0.0253253890646221,0.0689867201809846,0.0142257843171206,0.0776031638234837,0.0231897250185866,0.209508551914807,g_whoregion
EMR,2017,823193.026726868,95640.3250833933,808709.031700366,228077.904073992,14483.9950265019,4409.67564743696,39576.3403863964,9043.43879745569,38054.5615138668,8958.41942808056,1521.77887252966,398.373873947715,21851.2003433833,57301.4804294096,20496.0594348289,55613.0635929047,740.966079592139,2302.59166546718,0.0480766224949178,0.0470559373299621,0.105066238268185,0.0123242589296569,0.017286709418604,0.0421864756329749,0.0239210749927903,0.0722321699970454,0.0131739868694983,0.080937887790426,0.0223807460275544,0.187751730508816,g_whoregion
