iso3,e_inc_hr_num,e_inc_hr_num_lo,e_inc_hr_num_hi
ABW,1.26477559348972,0.348969978251999,2.18058120872745
AFG,12149.4248965784,0,27462.9208537561
AGO,16828.2423429578,0,37577.9775151825
AIA,0.631555729207859,0.238115789752559,1.02499566866316
ALB,53.6782000187884,0,115.794898968582
AND,0.0145867614639807,0,1.20949892918499
ARE,12.7347703345232,0,27.0630625824199
ARG,2447.91867673898,697.042837980065,4198.79451549789
ARM,313.936606352911,199.492812769532,428.380399936289
ASM,0.116185477151514,0,1.0236258122357
ATG,0.877407382604009,0,1.7964722009843
AUS,158.32616489913,107.409731111102,209.242598687158
AUT,42.4698268643137,0,92.7752425033731
AZE,1253.52101090059,938.221504150984,1568.8205176502
BDI,1957.89526829639,0,4450.52980218626
BEL,55.4931761930513,31.9070269157986,79.079325470304
BEN,967.202835320512,0,2192.93772751818
BFA,1516.2048884166,0,3414.8155023119
BGD,38948.1305466506,0,144908.867631841
BGR,116.522731768225,64.525139293715,168.520324242735
BHR,0.797442067689315,0,4.57822511726113
BHS,2.56222708358923,0,9.03667451807295
BIH,0,0,8.10072691207331
BLR,1481.32305085665,1059.93629178352,1902.70980992977
BLZ,0.554337380477392,0,6.78461857649738
BMU,0.0185984466693363,0,1.2104606879502
BOL,77.8541537928603,26.042373819081,129.66593376664
BRA,21895.5721671095,6709.38952790786,37081.7548063112
BRB,0,0,1.92220946475969
BRN,4.05406599439577,0,11.1760109240733
BTN,163.014376138573,102.588094592224,223.440657684921
BWA,848.386770622932,0,1884.87578435462
CAF,4165.16224680451,0,9430.66036840797
CAN,394.718295394235,107.656472892133,681.780117896338
CHE,41.3980153513703,0,93.2441028754117
CHL,136.081911410316,99.4340250135809,172.729797807051
CHN,131586.568843168,26443.6333630589,236729.504323276
CIV,4679.46378065427,0,10656.6974339028
CMR,6767.13672366475,0,15388.3360240662
COD,26521.7708357024,11228.0102600987,41815.5314113062
COG,3006.53709804654,0,6825.1359937507
COK,0.166691792529909,0,1.02680160155041
COL,3156.33260530641,833.618415109222,5479.04679550359
COM,39.5439846859099,0,89.9634529212332
CPV,28.5286128033732,0,63.7601286521417
CRI,14.8137927012096,2.72387615384906,26.9037092485702
CUB,158.121814121961,43.3473088582955,272.896319385627
CUW,0.128018515939862,0,3.27887182614743
CYM,0.0217134546094079,0,1.19859199580497
CYP,5.38828753047225,0,12.2149633973428
CZE,34.6586801802004,16.9411086731431,52.3762516872576
DEU,408.722982940797,0,885.423583792217
DJI,340.501294863779,0,756.68728533014
DMA,2.08416304741716,0.366200391286847,3.80212570354748
DNK,19.3221165005247,0,43.3097202001892
DOM,917.313266465365,323.406856920612,1511.21967601012
DZA,3213.44619782231,0,7156.8588897496
ECU,1559.28881457315,365.739736477451,2752.83789266885
EGY,216.349693754721,145.916150877772,286.78323663167
ERI,127.071740962322,15.9304620418076,238.213019882837
ESP,376.027112457195,0,816.58227399024
EST,42.6682945902024,24.7248481465934,60.6117410338114
ETH,8448.18998669369,4641.02761977902,12255.3523536083
FIN,16.9649296276778,3.48674497156197,30.4431142837937
FJI,100.466164432154,18.4784916620097,182.453837202298
FRA,556.711876384576,0,1186.65426012201
FSM,11.9655292629473,0,24.2038261980757
GAB,1908.13141357665,0,4202.99710542717
GBR,409.326874834622,328.975208091214,489.678541578031
GEO,633.488536345502,477.509557539273,789.46751515173
GHA,47.1647385226828,2.30684153466261,92.022635510703
GIN,3380.57710039567,0,7659.79332527943
GMB,551.966952375351,0,1233.6623041146
GNB,980.602867099728,0,2221.49025923762
GNQ,789.350936058755,0,1787.31451624093
GRC,26.3654245279434,11.9902444486108,40.740604607276
GRD,1.30909883314996,0,3.02878936700898
GTM,923.305544217938,195.07188520751,1651.53920322837
GUM,8.1461608797798,0,16.8087280920335
GUY,118.988654141779,34.237485142855,203.739823140702
HKG,244.915732978315,185.887477941707,303.943988014924
HND,531.307929178473,68.6134798046038,994.002378552343
HRV,17.2185733712019,0,36.4038476719808
HTI,3319.02317493918,763.471609264934,5874.57474061344
HUN,52.1217231051263,26.3089451064171,77.9345011038355
IDN,99585.8758747365,0,361808.092230091
IND,437738.9743455,346895.682948508,528582.265742492
IRL,28.2580041846186,0,59.6215979170367
IRN,1732.07160627073,0,3806.57455338689
IRQ,1962.47387818999,0,4286.80979382731
ISL,0.0352628059730641,0,3.61910915631281
ISR,20.5017986479731,0,46.2156960715612
ITA,254.730769360261,199.474996533521,309.986542187001
JAM,0.0866710386211077,0,4.64432910306939
JOR,14.748652726897,0,36.7569355052894
JPN,2278.06569156904,465.191717424595,4090.93966571348
KAZ,7434.47609336955,4863.75145098045,10005.2007357587
KEN,19125.2789380521,0,43967.1307045529
KGZ,4276.78832374818,3403.59492389198,5149.98172360438
KHM,7614.09346043249,909.203732461656,14318.9831884033
KIR,85.2797309705647,14.468834196305,156.090627744824
KNA,0.178697533994272,0,0.795177328806968
KOR,1114.91335979929,890.158945102031,1339.66777449655
KWT,55.0716957149791,30.6895450529652,79.453846376993
LAO,531.045844535775,246.776510612708,815.315178458842
LBN,12.0999765792856,0,24.514856691952
LBR,2047.8946666755,0,4651.73492591614
LBY,587.695229844124,0,1318.10456591225
LCA,3.37559039404846,1.76280730595624,4.98837348214068
LKA,43.5551352930697,0,104.859927535032
LSO,2051.44663981389,0,4671.33403105065
LTU,241.07492546776,187.68065532307,294.46919561245
LUX,4.63077409252248,0,11.8434493141674
LVA,39.5599250185697,0,85.1096425006991
MAC,30.7650582235893,11.8392789228506,49.690837524328
MAR,6312.17451515553,0,13597.3247565487
