"","iso3","g.whoregion","year","country","inc","inc.sd","inc.f","inc.f.sd","inc.m","inc.m.sd","inc.15plus","inc.15plus.sd","inc.15plus.f","inc.15plus.f.sd","inc.15plus.m","inc.15plus.m.sd","inc.014","inc.014.sd","inc.014.f","inc.014.f.sd","inc.014.m","inc.014.m.sd","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"13","AUT","EUR",2020,"Austria",4.87764256528691,0.373090515448453,3.32405677699192,0.343555912734655,6.47567589726402,0.669289633936887,5.51996658182394,0.435686431588921,3.62127092896519,0.383885614658149,7.5029120528222,0.79537269141769,1.06315773254649,0.0839141672043051,1.46295309804171,0.155085510107985,0.687434152027557,0.0728738852090011,669.155,628.865,1298.02,3770.536,3937.844,7708.38,4566.709,4439.691,9006.4
"14","AZE","EUR",2020,"Azerbaijan",57.0860514149344,7.32165951998773,39.9652446022531,6.94473068645278,74.2401454475941,12.9006545909532,74.6372320931674,9.57271325228689,51.2037754077407,8.89764178539085,99.0992261599887,17.2203984678777,NA,NA,NA,NA,NA,NA,1270.473,1113.786,2384.259,3794.191,3960.725,7754.916,5074.511,5064.664,10139.175
"15","BDI","AFR",2020,"Burundi",103.496542024565,20.6866741088064,77.1056760728476,21.1482477286012,130.294699994793,35.7367282612284,189.041417902959,37.7852064303462,139.11725731662,38.156545288259,241.015318614697,66.1047529060738,NA,NA,NA,NA,NA,NA,2710.353,2670.454,5380.807,3189.511,3320.463,6509.974,5990.917,5899.864,11890.781
"16","BEL","EUR",2020,"Belgium",8.685329899275,0.664340230018205,5.73380871944584,0.588283341977481,11.6887185723856,1.19925145076375,9.88370322595468,0.799339531006705,6.37276178759534,0.689255928187058,13.5147900935423,1.46171306894128,2.84850736619169,0.230371601626159,2.46878927724609,0.267015730620709,3.20553245810282,0.34669933121368,1017.49,956.682,1974.172,4726.845,4888.599,9615.444,5845.281,5744.335,11589.616
"17","BEN","AFR",2020,"Benin",54.0454964931893,10.8025091187978,41.2244595954927,11.3406083697947,66.897667709214,18.4031581684046,93.0928925196452,18.6072269770981,70.2157316032346,19.3159381911694,116.550193979262,32.0622785189143,NA,NA,NA,NA,NA,NA,2579.221,2505.8,5085.021,3475.027,3563.15,7038.177,6068.95,6054.248,12123.198
"18","BFA","AFR",2020,"Burkina Faso",45.9523176082211,9.18486159332489,32.7985851566561,8.91432590859848,59.1234948188635,16.0691718607175,82.6039202627611,16.5107140220447,58.1033783217268,15.7919144462046,107.870586819145,29.3181416900993,NA,NA,NA,NA,NA,NA,4720.002,4554.844,9274.846,5724.711,5903.721,11628.432,10458.565,10444.713,20903.278
"19","BGD","SEA",2020,"Bangladesh",247.677653757705,33.1440528195746,222.454684487212,41.8386270557449,272.346586362806,51.2221501786073,311.809643451622,45.0900908369593,276.837746274874,56.2232992441417,346.274097890458,70.325208495448,72.1045764954912,10.42688054145,71.4118689219792,14.503119354242,72.7681259764675,14.7785631737808,22504.586,21557.302,44061.888,60754.522,59872.973,120627.495,81430.275,83259.108,164689.383
"20","BGR","EUR",2020,"Bulgaria",18.7961364869462,2.41072798919385,12.4939534979952,2.16077323723316,25.4722586265491,4.40531291724118,22.0300281847766,2.82549584509848,14.5061150527504,2.50876755602121,30.1574542309958,5.21559648960401,NA,NA,NA,NA,NA,NA,524.196,495.799,1019.995,2849.925,3078.525,5928.45,3574.324,3374.121,6948.445
"21","BHR","EMR",2020,"Bahrain",13.0437363325797,0.997714401047011,12.6266617202537,1.30236315120288,13.2715538940493,1.36887984597607,15.7965442497415,1.22086164957184,16.8942982299939,1.76420731562597,15.2725688726454,1.59485628622836,0.739338260112058,0.0571409615648531,0,0,1.44432443294567,0.150825307808065,159.244,151.845,311.089,941.23,449.264,1390.494,601.109,1100.474,1701.583
"22","BHS","AMR",2020,"Bahamas",9.06552608023436,0.693421406733901,6.25757463332591,0.650059490818363,12.0360243441675,1.25034575136796,11.5633747538931,0.884481663553777,7.88594369498541,0.819220359863265,15.5522046940611,1.61561928653353,0,0,0,0,0,0,43.204,41.743,84.947,147.889,160.412,308.301,202.155,191.093,393.248
"23","BIH","EUR",2020,"Bosnia and Herzegovina",25.5253981393771,3.27379987878398,19.0553120411115,3.36230419647639,32.2677087863564,5.69362771016138,29.7784315939967,3.82999254202559,21.9529332431423,3.88137796700421,38.067733626229,6.73054761813149,0.492342012217716,0.0633232220094451,1.01255821436347,0.179024875628736,0,0,244.784,231.668,476.452,1361.825,1442.538,2804.363,1674.206,1606.609,3280.815
"24","BLR","EUR",2020,"Belarus",25.4834650419098,3.26842168454129,14.2905203874922,2.40614394160212,38.331644252545,6.45403044039143,30.7921372304868,3.94929374290272,16.9639209548632,2.85627356629273,47.2882134259421,7.96207871783358,NA,NA,NA,NA,NA,NA,833.257,795.839,1629.096,3566.11,4254.115,7820.225,5049.954,4399.367,9449.321
"25","BLZ","AMR",2020,"Belize",22.7893695094206,1.77648135615588,18.6007782754704,2.0183163503116,27.0224177040459,2.93212395036981,31.3627722634853,2.50826531025419,25.2427143780668,2.80781637986545,37.6512939455597,4.18805673114652,2.00121419458128,0.160048866231785,2.03136012968587,0.225953760760907,1.97194992305153,0.219345400470461,58.913,57.19,116.103,138.848,142.67,281.518,199.86,197.761,397.621
"26","BMU","AMR",2020,"Bermuda",5.54012172209465,0.423763496090965,3.65671404496168,0.375259321144462,7.46196022450767,0.76576130750882,6.76510382963704,0.517462285861377,4.43382041099587,0.455007533279569,9.1779728651237,0.941861962543669,0,0,0,0,0,0,5.763,5.512,11.275,25.06,25.937,50.997,31.449,30.823,62.273
"27","BOL","AMR",2020,"Bolivia (Plurinational State of)",102.781284497268,20.1295845459498,79.2873591732211,21.3949210119465,126.102719729654,34.0275897209954,147.257345518017,28.8401648326925,112.714868087499,30.4150084546956,182.085139643474,49.133900040867,NA,NA,NA,NA,NA,NA,1801.059,1724.54,3525.599,4056.96,4090.47,8147.43,5815.01,5858.019,11673.029
"28","BRA","AMR",2020,"Brazil",50.9182885660313,3.61458452527071,33.3642978622263,3.17758203874407,69.0921469040848,6.58026630523663,64.217145274177,4.55864299649601,41.6580572275206,3.96747130605761,88.0575558400545,8.38651270194568,NA,NA,NA,NA,NA,NA,22492.872,21526.48,44019.352,81942.911,86597.146,168540.057,108123.626,104435.783,212559.409
"29","BRB","AMR",2020,"Barbados",2.40107735296881,0.183658228291388,0,0,4.96103074401081,0.379468872928047,2.88454302985711,0.220638481987594,0,0,6.02094240837696,0.460541437367578,0,0,0,0,0,0,24.484,23.681,48.165,114.6,124.606,239.206,148.287,139.084,287.371
"30","BRN","WPR",2020,"Brunei Darussalam",82.5403501393197,6.31350421243939,64.4667832167832,6.7678847863438,99.300841017327,10.4248516469696,105.924036030946,8.12796420130626,82.4817473502241,8.67856261090986,127.566613089444,13.422300985667,1.17750655307995,0.0903546680136059,2.42774810530094,0.255442744755513,0,0,50.295,47.369,97.664,176.692,163.127,339.819,210.496,226.987,437.483
"31","BTN","SEA",2020,"Bhutan",164.625852123067,20.9679155965529,180.889409065595,32.5682710579142,150.288205663542,27.0586710639475,211.494135373649,27.8995664681901,233.963784579532,43.6368715117588,192.297623761152,35.8656649154581,23.2285228486074,3.0642254738064,30.9771923077364,5.77759401078689,15.7210561809525,2.93215340925623,97.564,94.527,192.091,312.523,266.998,579.521,361.525,410.087,771.612
"32","BWA","AFR",2020,"Botswana",231.834649162616,28.7147507225826,174.30280662236,29.7887058575043,293.075028539621,50.0871213064363,348.120133962141,43.1177259496846,256.409656371196,43.8209342733869,450.019373413675,76.9092305773501,NA,NA,NA,NA,NA,NA,397.261,388.272,785.533,741.838,824.254,1566.092,1212.526,1139.099,2351.625
"33","CAF","AFR",2020,"Central African Republic",540.000000000099,107.933408027194,429.624085016689,119.138976577661,652.297547158929,180.888513709875,956.458707474611,191.173792472223,752.650660774382,208.717417324676,1168.48507760864,324.032383536307,NA,NA,NA,NA,NA,NA,1057.587,1045.376,2102.963,1336.455,1390.346,2726.801,2435.722,2394.042,4829.764
"34","CAN","AMR",2020,"Canada",5.90344897434837,0.45155437010201,5.19482061253238,0.558351155034979,6.62258640070244,0.711810674892309,7.00916229011598,0.536130298848809,6.13261949967436,0.659147916055566,7.90904856511365,0.850082559329459,NA,NA,NA,NA,NA,NA,3046.92,2907.002,5953.922,15685.258,16102.977,31788.235,19009.979,18732.178,37742.157
"35","CHE","EUR",2020,"Switzerland",4.66398401408358,0.35674778898326,4.00828256098987,0.429752682836043,5.32996649934974,0.571458565524909,5.23437215523252,0.419021556821128,4.43959615760459,0.497745155461867,6.05107253986642,0.678415769170304,1.42127305899674,0.113775641507149,1.45823195715334,0.163489620777665,1.38614129902533,0.155407179365553,663.713,630.901,1294.614,3629.935,3730.069,7360.004,4360.97,4293.648,8654.618
"36","CHL","AMR",2020,"Chile",14.5583258689001,1.11356523616002,10.6945650555449,1.12093272052375,18.5306623377757,1.9422599834128,18.0263708381381,1.37883573154254,13.1446861973155,1.37773801768108,23.121323690349,2.42342237685443,NA,NA,NA,NA,NA,NA,1871.435,1806.281,3677.716,7554.234,7884.259,15438.493,9690.54,9425.669,19116.209
"37","CHN","WPR",2020,"China",54.8104816858519,4.22174218140277,36.3050357580703,3.72711351746643,72.3841745902232,7.43103621667416,63.4366033325095,5.12403629914516,40.6105410661139,4.35062222240631,85.5102210538029,9.16074147729032,14.7339638049096,1.19012307407004,15.2032398023876,1.62872867980651,14.3244043596131,1.5345787151225,136126.399,118803.972,254930.371,602120.941,582272.462,1184393.403,701076.434,738247.34,1439323.774
"38","CIV","AFR",2020,"C<U+00F4>te d'Ivoire",132.440907870027,26.7690411868013,102.772968103667,28.6258502910196,161.612570719568,45.0147284828696,226.427507233445,45.7656728909255,176.140811271156,49.0613493667016,275.631385479385,76.7729386610727,NA,NA,NA,NA,NA,NA,5501.89,5447.329,10949.219,7798.49,7630.566,15429.056,13077.895,13300.38,26378.275
"39","CMR","AFR",2020,"Cameroon",171.056774544514,34.190440810628,133.522086499633,36.8636984478534,208.56803781962,57.5829022269218,295.250937024379,59.0140888222323,229.050334420709,63.2377959244081,362.232004774771,100.007509935184,NA,NA,NA,NA,NA,NA,5632.324,5533.911,11166.235,7644.751,7734.878,15379.629,13268.789,13277.075,26545.864
"40","COD","AFR",2020,"Democratic Republic of the Congo",319.060451566245,63.772947041578,271.831868949602,76.0249901853304,366.438039734999,102.484114471324,588.620193104959,117.65182496989,497.175117468574,139.048204951078,681.962688972367,190.728949244351,NA,NA,NA,NA,NA,NA,20686.119,20328.697,41014.816,24024.053,24522.535,48546.588,44851.232,44710.172,89561.404
"41","COG","AFR",2020,"Congo",371.970319401001,77.3720589596598,302.630147716495,87.5265680441588,441.429618184536,127.670094352037,633.359595812127,131.742597282374,511.719222266893,147.999225011798,756.924378428633,218.917360390944,NA,NA,NA,NA,NA,NA,1149.015,1128.317,2277.332,1607.663,1633.097,3240.76,2761.414,2756.678,5518.092
"42","COK","WPR",2020,"Cook Islands",13.1076537299823,1.00260343778715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,2.478,5.128,6.255,6.179,12.434,8.657,8.905,17.564
"43","COL","AMR",2020,"Colombia",36.2451879416618,4.64868300718376,26.3551619160831,4.62675420364411,46.4969201239311,8.16272050708294,46.5778085265436,5.97390934646854,33.4879765893565,5.87894838019528,60.4640086273761,10.6146988197849,NA,NA,NA,NA,NA,NA,5771.394,5516.246,11287.64,19213.17,20382.074,39595.244,25898.32,24984.564,50882.884
"44","COM","AFR",2020,"Comoros",34.8991678620958,6.97557994372139,25.6082905710907,6.98364000975719,44.0267225386632,12.0065328127207,53.9194582641826,11.4175808947778,37.9530888321597,10.8927613692239,69.7894686157318,20.0299909996245,5.17419743733003,1.09564932045156,6.0217303280326,1.72827228326926,4.35662827675675,1.25037812872065,172.71,166.604,339.314,265.943,264.338,530.281,430.942,438.653,869.595
"45","CPV","AFR",2020,"Cabo Verde",39.3200470683395,5.04305376238468,25.9382424403854,4.45023596297963,52.5941709273172,9.02360564489994,53.0882346198028,7.00904315796748,33.8334092899904,5.93772689812818,72.3135160534508,12.6909441992247,4.05860488821571,0.535842584074749,5.47952459167028,0.961650665413171,2.67254566638928,0.469028886618597,79.034,77.095,156.129,200.083,199.776,399.859,276.871,279.117,555.988
"46","CRI","AMR",2020,"Costa Rica",10.3433146661733,1.32659812262296,6.32876178237766,1.07031689993769,14.3641171309346,2.42925201588925,12.612758020496,1.67451775626147,7.55909555109377,1.31948014704672,17.7387640806743,3.09639518106216,1.71666039648871,0.227910367480288,1.50649413463571,0.262966526730372,1.91726400283382,0.33466858188087,542.852,518.152,1061.004,2002.224,2030.886,4033.11,2549.038,2545.076,5094.114
"47","CUB","AMR",2020,"Cuba",6.22522855558819,0.485270241938354,2.85639090068454,0.277314291259125,9.64179991936023,0.936079480738748,7.28910891962468,0.577086273025283,3.22406837633479,0.31608167102714,11.466388353718,1.12414340157684,0.606746205157611,0.0480367230161611,0.832067276793395,0.0815743292500655,0.393583811526583,0.0385862253262692,926.641,876.638,1803.279,4696.827,4826.51,9523.337,5703.148,5623.468,11326.616
"48","CUW","AMR",2020,"Cura<U+00E7>ao",7.9779974071977,0.610236421840434,8.2062419502152,0.88226516595588,7.70994639165245,0.828907699042898,9.75027834932929,0.745798057852829,9.82330641522297,1.05611814972563,9.66050612195745,1.03861525027093,0,0,0,0,0,0,15.238,14.59,29.828,60.231,74.041,134.272,88.631,75.469,164.1
"49","CYM","AMR",2020,"Cayman Islands",3.49969567863664,0.267691461777113,0,0,7.08782742681048,0.54214739192579,4.60110426502361,0.35193812250924,0,0,9.41812374595635,0.720391583800495,0,0,0,0,0,0,8.029,7.705,15.734,24.421,25.567,49.988,33.272,32.45,65.72
"50","CYP","EUR",2020,"Cyprus",5.74815923464923,0.439676269677163,5.22415843876868,0.562792554728399,6.27244915765033,0.675723703102323,6.68160272122546,0.526789236447317,5.80998660265938,0.642501942730779,7.564213969288,0.836494557194725,1.05075324285867,0.0828432221421479,2.16622883329567,0.239554121029269,0,0,103.064,97.084,200.148,500.45,506.763,1007.213,603.847,603.514,1207.361
"51","CZE","EUR",2020,"Czechia",4.73615316289802,0.362268001733924,2.34255659817956,0.226847041361948,7.20417358656422,0.697633288706871,5.57281740552665,0.430003331101109,2.71109952648996,0.264376415968949,8.57077530565032,0.835790363003258,0.262534684051403,0.0202573995264451,0.26986338105849,0.0263160805379495,0.255593514712469,0.0249245358587317,866.54,820.719,1687.259,4405.982,4615.741,9021.723,5436.46,5272.522,10708.982
"52","DEU","EUR",2020,"Germany",6.24756730264278,0.477875954936026,4.39400166686872,0.456663469582085,8.14374512371515,0.846369934638228,7.26086418507448,0.555382957561017,5.07158335728031,0.527083744567814,9.53204099308351,0.990653905509825,NA,NA,NA,NA,NA,NA,6032.028,5660.521,11692.549,35383.883,36707.513,72091.396,42368.034,41415.911,83783.945
