iso3,year,measure,unit,age_group,sex,best,lo,hi,analysed
AIA,2020,inc,num,15plus,a,0,0,0,TRUE
AIA,2020,inc,num,a,m,0,0,0,TRUE
AIA,2020,inc,num,a,f,0,0,0,TRUE
AIA,2020,inc,num,a,a,0,0,0,TRUE
ALB,2020,inc,num,0-4,m,0,0,0,TRUE
ALB,2020,inc,num,0-4,f,0,0,0,TRUE
ALB,2020,inc,num,15-24,m,56.3770246384476,29.9256466287217,82.8284026481735,TRUE
ALB,2020,inc,num,15-24,f,17.6178201995149,9.35176457147553,25.8838758275542,TRUE
ALB,2020,inc,num,25-34,m,56.3770246384476,29.9256466287217,82.8284026481735,TRUE
ALB,2020,inc,num,25-34,f,19.3796022194664,10.2869410286231,28.4722634103097,TRUE
ALB,2020,inc,num,35-44,m,47.5681145386902,25.2497643429839,69.8864647343964,TRUE
ALB,2020,inc,num,35-44,f,8.80891009975744,4.67588228573777,12.9419379137771,TRUE
ALB,2020,inc,num,45-54,m,38.7592044389327,20.5738820572462,56.9445268206193,TRUE
ALB,2020,inc,num,45-54,f,14.0942561596119,7.48141165718043,20.7071006620434,TRUE
ALB,2020,inc,num,55-64,m,42.2827684788357,22.4442349715413,62.1213019861302,TRUE
ALB,2020,inc,num,55-64,f,17.6178201995149,9.35176457147553,25.8838758275542,TRUE
ALB,2020,inc,num,5-14,m,3.52356403990298,1.87035291429511,5.17677516551085,TRUE
ALB,2020,inc,num,5-14,f,1.76178201995149,0.935176457147553,2.58838758275542,TRUE
ALB,2020,inc,num,65plus,m,70.4712807980595,37.4070582859021,103.535503310217,TRUE
ALB,2020,inc,num,65plus,f,28.1885123192238,14.9628233143609,41.4142013240868,TRUE
ALB,2020,inc,num,0-14,m,3.52356403990298,2.83228454384736,4.2148435359586,TRUE
ALB,2020,inc,num,0-14,f,1.76178201995149,1.41614227192368,2.1074217679793,TRUE
ALB,2020,inc,num,15plus,m,311.835417531413,250.657182130491,373.013652932336,TRUE
ALB,2020,inc,num,15plus,f,105.706921197089,84.9685363154207,126.445306078758,TRUE
ALB,2020,inc,num,0-14,a,5.28534605985447,4.46766120157052,6.10303091813841,TRUE
ALB,2020,inc,num,15plus,a,417.542338728503,352.945234924071,482.139442532934,TRUE
ALB,2020,inc,num,a,m,315.358981571316,254.209895657729,376.508067484904,TRUE
ALB,2020,inc,num,a,f,107.468703217041,86.6301879057066,128.307218528375,TRUE
ALB,2020,inc,num,a,a,422.827684788357,358.225405970594,487.42996360612,TRUE
AND,2020,inc,num,0-4,m,0,0,0,TRUE
AND,2020,inc,num,0-4,f,0,0,0,TRUE
AND,2020,inc,num,15-24,m,0,0,0,TRUE
AND,2020,inc,num,15-24,f,0,0,0,TRUE
AND,2020,inc,num,25-34,m,0,0,0,TRUE
AND,2020,inc,num,25-34,f,0,0,0,TRUE
AND,2020,inc,num,35-44,m,1.15,0.906177854777412,1.39382214522259,TRUE
AND,2020,inc,num,35-44,f,1.15,0.906177854777412,1.39382214522259,TRUE
AND,2020,inc,num,45-54,m,0,0,0,TRUE
AND,2020,inc,num,45-54,f,0,0,0,TRUE
AND,2020,inc,num,55-64,m,0,0,0,TRUE
AND,2020,inc,num,55-64,f,0,0,0,TRUE
AND,2020,inc,num,5-14,m,0,0,0,TRUE
AND,2020,inc,num,5-14,f,0,0,0,TRUE
AND,2020,inc,num,65plus,m,0,0,0,TRUE
AND,2020,inc,num,65plus,f,0,0,0,TRUE
AND,2020,inc,num,0-14,m,0,0,0,TRUE
AND,2020,inc,num,0-14,f,0,0,0,TRUE
AND,2020,inc,num,15plus,m,1.15,0.906177854777412,1.39382214522259,TRUE
AND,2020,inc,num,15plus,f,1.15,0.906177854777412,1.39382214522259,TRUE
AND,2020,inc,num,0-14,a,0,0,0,TRUE
AND,2020,inc,num,15plus,a,2.3,1.95518341541931,2.64481658458069,TRUE
AND,2020,inc,num,a,m,1.15,0.906177854777412,1.39382214522259,TRUE
AND,2020,inc,num,a,f,1.15,0.906177854777412,1.39382214522259,TRUE
AND,2020,inc,num,a,a,2.3,1.95518341541931,2.64481658458069,TRUE
