unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ROSA,AFG,Afghanistan,BCG,84,87,86,89,84,78,76,74,72,78,71,68,64,66,60,60,57,51,44,46,43,30,38,35,43,47,31,15,17,19,21,30,38,40,27,18,17,11,10,10,,
ECAR,ALB,Albania,BCG,99,98,99,99,99,99,99,99,99,96,97,99,97,99,98,97,98,97,95,94,93,93,93,87,94,94,97,87,82,81,80,94,94,92,92,92,92,90,90,92,93,93
MENA,DZA,Algeria,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,97,97,97,95,94,94,93,93,95,97,98,99,96,96,93,88,86,,,,,
ESAR,AGO,Angola,BCG,56,58,69,72,69,40,64,72,71,73,74,79,70,73,75,54,51,63,54,76,70,53,49,60,70,65,60,48,53,47,53,48,47,32,29,32,28,28,25,,,
LACR,ARG,Argentina,BCG,81,75,85,93,95,92,96,99,99,99,99,99,99,99,99,99,99,99,99,95,92,95,96,98,99,99,99,99,99,99,99,99,92,91,94,99,90,78,70,77,70,62
ECAR,ARM,Armenia,BCG,98,99,99,99,99,99,99,99,99,96,96,95,99,98,94,91,94,96,92,97,96,97,93,95,72,82,84,83,84,88,,,,,,,,,,,,
Non-programme,AUT,Austria,BCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90
ECAR,AZE,Azerbaijan,BCG,95,94,96,97,97,98,98,98,98,98,99,98,95,92,88,86,82,82,83,82,83,81,82,79,77,76,76,77,74,69,,,,,,,,,,,,
ROSA,BGD,Bangladesh,BCG,99,99,99,99,99,99,99,99,99,98,99,98,99,99,98,97,97,96,93,95,95,94,92,91,92,90,93,95,93,89,87,86,56,26,15,4,2,2,2,1,1,
ECAR,BLR,Belarus,BCG,98,97,97,98,98,98,97,98,99,98,99,99,98,98,98,99,99,99,99,99,99,99,99,99,98,97,96,94,93,95,,,,,,,,,,,,
