212 (152 - 276),27.5 (19.7 - 35.9),42.6 (38.6 - 46.7),5.54 (5.02 - 6.07)
241 (201 - 282),31.3 (26.2 - 36.6),34.5 (30.5 - 39.1),4.48 (3.96 - 5.09)
