Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,With COVID,xx,lo,2.2823,2.5775,3.1244,3.1848,2.5485,2.3869
xx,xx,xx,xx,md,2.7097,3.087,3.8105,3.8138,3.0982,2.9088
xx,xx,xx,xx,hi,3.1926,3.6152,4.6115,4.7321,3.8543,3.6065
xx,BOL,Baseline,xx,lo,8.0713,7.971,7.8891,7.8237,7.7703,7.7207
xx,xx,xx,xx,md,11.1084,10.9265,10.8168,10.7689,10.713,10.647
xx,xx,xx,xx,hi,15.106,14.9225,14.7597,14.6974,14.6553,14.6152
xx,xx,With COVID,xx,lo,8.0713,9.2189,11.2771,11.2275,9.0249,8.5328
xx,xx,xx,xx,md,11.1084,12.6453,15.7915,15.9579,12.6382,11.9101
xx,xx,xx,xx,hi,15.106,16.8188,21.101,21.2705,17.134,16.2458
xx,CHL,Baseline,xx,lo,2.0815,2.0569,2.0365,2.0146,1.9892,1.9706
xx,xx,xx,xx,md,2.1923,2.1697,2.1551,2.138,2.1232,2.1102
xx,xx,xx,xx,hi,2.3113,2.2934,2.2776,2.2666,2.2628,2.2576
xx,xx,With COVID,xx,lo,2.0815,2.343,2.7728,2.7655,2.1699,2.0573
xx,xx,xx,xx,md,2.1923,2.4861,3.0851,3.1056,2.5047,2.3428
xx,xx,xx,xx,hi,2.3113,2.6682,3.4321,3.6001,2.9719,2.8089
xx,CRI,Baseline,xx,lo,0.86161,0.85205,0.84368,0.83647,0.82701,0.8178
xx,xx,xx,xx,md,0.96579,0.95776,0.95082,0.9446,0.93822,0.9321
xx,xx,xx,xx,hi,1.0671,1.063,1.0603,1.0577,1.051,1.046
xx,xx,With COVID,xx,lo,0.86161,0.96576,1.1726,1.1537,0.92407,0.87333
xx,xx,xx,xx,md,0.96579,1.0989,1.3535,1.3749,1.1058,1.0385
xx,xx,xx,xx,hi,1.0671,1.2321,1.5875,1.6547,1.3454,1.2611
xx,CUB,Baseline,xx,lo,0.41601,0.40992,0.40626,0.40264,0.39866,0.39414
xx,xx,xx,xx,md,0.46505,0.46088,0.45785,0.45549,0.4536,0.451
xx,xx,xx,xx,hi,0.52981,0.52919,0.52863,0.52807,0.52728,0.52458
xx,xx,With COVID,xx,lo,0.41601,0.46165,0.5546,0.56021,0.43997,0.41997
xx,xx,xx,xx,md,0.46505,0.53193,0.6535,0.65637,0.52929,0.49822
xx,xx,xx,xx,hi,0.52981,0.61929,0.7897,0.81002,0.65957,0.61842
xx,DOM,Baseline,xx,lo,2.4447,2.4228,2.4027,2.3839,2.3661,2.349
xx,xx,xx,xx,md,3.9628,3.9099,3.9084,3.8593,3.822,3.8017
xx,xx,xx,xx,hi,6.0769,6.0396,6.0022,5.9663,5.9314,5.9228
xx,xx,With COVID,xx,lo,2.4447,2.8001,3.3882,3.4168,2.7462,2.5704
xx,xx,xx,xx,md,3.9628,4.5572,5.6432,5.6537,4.614,4.3153
xx,xx,xx,xx,hi,6.0769,6.9539,8.7125,8.9343,7.4497,7.0334
xx,ECU,Baseline,xx,lo,3.9134,3.87,3.8258,3.7899,3.7565,3.7233
xx,xx,xx,xx,md,4.6281,4.566,4.5465,4.4989,4.4647,4.4425
xx,xx,xx,xx,hi,5.3964,5.3745,5.3609,5.3485,5.3369,5.3259
xx,xx,With COVID,xx,lo,3.9134,4.4886,5.4469,5.3464,4.2084,3.9882
xx,xx,xx,xx,md,4.6281,5.2787,6.4943,6.5003,5.2337,4.9435
xx,xx,xx,xx,hi,5.3964,6.1796,7.7996,8.045,6.6645,6.2479
xx,GRD,Baseline,xx,lo,1.8283,1.8014,1.7894,1.7889,1.7885,1.7827
xx,xx,xx,xx,md,2.1019,2.082,2.0681,2.0536,2.0458,2.0325
xx,xx,xx,xx,hi,2.4355,2.4274,2.4131,2.3946,2.3789,2.3689
xx,xx,With COVID,xx,lo,1.8283,2.0868,2.5108,2.5745,2.0362,1.9217
xx,xx,xx,xx,md,2.1019,2.3927,2.9702,2.9828,2.4085,2.2602
xx,xx,xx,xx,hi,2.4355,2.8099,3.5618,3.579,2.9317,2.7573
xx,GTM,Baseline,xx,lo,2.5511,2.514,2.4873,2.4701,2.4487,2.4266
xx,xx,xx,xx,md,3.0042,2.977,2.9456,2.925,2.9131,2.8927
xx,xx,xx,xx,hi,3.4324,3.4065,3.3794,3.3535,3.3432,3.3335
xx,xx,With COVID,xx,lo,2.5511,2.8673,3.4841,3.5085,2.7973,2.653
xx,xx,xx,xx,md,3.0042,3.4167,4.208,4.2506,3.4392,3.2322
xx,xx,xx,xx,hi,3.4324,3.9121,4.9443,5.0828,4.2228,3.9456
xx,GUY,Baseline,xx,lo,14.2279,14.1255,13.973,13.8333,13.6875,13.5549
xx,xx,xx,xx,md,15.9478,15.8033,15.654,15.5249,15.4513,15.3366
xx,xx,xx,xx,hi,18.1715,17.9779,17.8993,17.8415,17.7868,17.728
xx,xx,With COVID,xx,lo,14.2279,16.1165,19.4969,19.4792,15.3678,14.5489
xx,xx,xx,xx,md,15.9478,17.9789,22.1903,22.6518,18.3088,17.1606
xx,xx,xx,xx,hi,18.1715,20.8906,26.3622,27.6512,22.6967,21.4287
xx,HND,Baseline,xx,lo,4.2069,4.1836,4.1637,4.1413,4.1028,4.0665
xx,xx,xx,xx,md,5.0149,4.9828,4.9429,4.9026,4.8715,4.8321
xx,xx,xx,xx,hi,5.8318,5.7735,5.7297,5.6937,5.6597,5.6335
xx,xx,With COVID,xx,lo,4.2069,4.7501,5.8255,5.9431,4.6341,4.3616
xx,xx,xx,xx,md,5.0149,5.6753,7.0401,7.0913,5.7385,5.3762
xx,xx,xx,xx,hi,5.8318,6.7327,8.4382,8.8108,7.2675,6.8737
xx,JAM,Baseline,xx,lo,0.27872,0.27336,0.27016,0.26752,0.26511,0.26289
xx,xx,xx,xx,md,0.33402,0.33166,0.32901,0.32791,0.32637,0.32416
xx,xx,xx,xx,hi,0.4119,0.40919,0.40769,0.40652,0.40549,0.40484
xx,xx,With COVID,xx,lo,0.27872,0.31212,0.37908,0.37947,0.29407,0.27952
xx,xx,xx,xx,md,0.33402,0.38229,0.47543,0.47723,0.38553,0.36332
xx,xx,xx,xx,hi,0.4119,0.48123,0.61246,0.6317,0.50463,0.47354
xx,NIC,Baseline,xx,lo,2.2398,2.234,2.219,2.198,2.1784,2.1598
xx,xx,xx,xx,md,2.6613,2.6476,2.63,2.6064,2.5882,2.5772
xx,xx,xx,xx,hi,3.078,3.0318,2.9955,2.9736,2.9611,2.9498
xx,xx,With COVID,xx,lo,2.2398,2.4851,2.9763,3.0597,2.4374,2.3117
xx,xx,xx,xx,md,2.6613,3.0304,3.7819,3.7881,3.032,2.8492
xx,xx,xx,xx,hi,3.078,3.493,4.4712,4.5469,3.6855,3.4906
xx,PRI,Baseline,xx,lo,0.15846,0.15683,0.15532,0.15375,0.15232,0.15095
xx,xx,xx,xx,md,0.17825,0.17681,0.17536,0.17365,0.17271,0.17218
xx,xx,xx,xx,hi,0.20313,0.20037,0.19846,0.19802,0.19697,0.1959
xx,xx,With COVID,xx,lo,0.15846,0.17759,0.21073,0.21181,0.16845,0.15969
xx,xx,xx,xx,md,0.17825,0.20187,0.25017,0.25247,0.20441,0.19169
xx,xx,xx,xx,hi,0.20313,0.2315,0.29003,0.29864,0.24394,0.22999
xx,PRY,Baseline,xx,lo,3.7344,3.6906,3.6598,3.6326,3.6077,3.5844
xx,xx,xx,xx,md,4.163,4.1221,4.0832,4.0665,4.046,4.0287
xx,xx,xx,xx,hi,4.7115,4.6714,4.6527,4.6355,4.6195,4.6043
xx,xx,With COVID,xx,lo,3.7344,4.1956,5.055,5.077,4.0089,3.8374
xx,xx,xx,xx,md,4.163,4.7215,5.8831,5.9224,4.7971,4.5049
xx,xx,xx,xx,hi,4.7115,5.4312,6.8977,7.121,5.8276,5.5308
xx,SUR,Baseline,xx,lo,3.3185,3.2855,3.2393,3.1985,3.1736,3.1499
xx,xx,xx,xx,md,4.0251,3.9814,3.9508,3.9213,3.8954,3.8583
xx,xx,xx,xx,hi,4.851,4.8078,4.7655,4.7484,4.7269,4.7062
xx,xx,With COVID,xx,lo,3.3185,3.7035,4.4824,4.5403,3.634,3.4157
xx,xx,xx,xx,md,4.0251,4.5217,5.6415,5.7136,4.6324,4.334
xx,xx,xx,xx,hi,4.851,5.611,7.0552,7.1108,5.7725,5.4725
xx,SXM,Baseline,xx,lo,0.66856,0.65963,0.65215,0.64439,0.63688,0.63003
xx,xx,xx,xx,md,1.1066,1.0938,1.0928,1.0875,1.0794,1.0708
xx,xx,xx,xx,hi,1.7208,1.7113,1.7031,1.6902,1.6711,1.6597
xx,xx,With COVID,xx,lo,0.66856,0.73585,0.90187,0.91337,0.74558,0.69952
xx,xx,xx,xx,md,1.1066,1.2561,1.569,1.6082,1.2981,1.2224
xx,xx,xx,xx,hi,1.7208,1.9604,2.4382,2.4581,2.0165,1.9213
xx,URY,Baseline,xx,lo,2.4928,2.472,2.4484,2.4232,2.3973,2.3704
xx,xx,xx,xx,md,2.7607,2.7403,2.7086,2.6939,2.6846,2.6721
xx,xx,xx,xx,hi,3.1372,3.1143,3.1017,3.088,3.0688,3.0578
xx,xx,With COVID,xx,lo,2.4928,2.7508,3.2899,3.3682,2.7103,2.5579
xx,xx,xx,xx,md,2.7607,3.1453,3.886,3.9261,3.1521,2.9575
xx,xx,xx,xx,hi,3.1372,3.5517,4.5508,4.7716,3.8848,3.6549
xx,VEN,Baseline,xx,lo,2.6111,2.5753,2.5482,2.5322,2.5173,2.5035
xx,xx,xx,xx,md,3.1402,3.1043,3.0775,3.0482,3.0334,3.0108
xx,xx,xx,xx,hi,3.8518,3.8333,3.8221,3.7942,3.7665,3.7436
xx,xx,With COVID,xx,lo,2.6111,2.9432,3.5278,3.5267,2.8259,2.6627
xx,xx,xx,xx,md,3.1402,3.5706,4.4346,4.4356,3.61,3.3789
xx,xx,xx,xx,hi,3.8518,4.3914,5.5737,5.8636,4.809,4.5388
EUR,ALB,Baseline,xx,lo,0.19841,0.19575,0.19386,0.19224,0.1908,0.18948
xx,xx,xx,xx,md,0.34756,0.34341,0.33981,0.33403,0.32998,0.32698
xx,xx,xx,xx,hi,0.55134,0.5451,0.54006,0.53553,0.53136,0.52892
xx,xx,With COVID,xx,lo,0.19841,0.21817,0.30268,0.32629,0.23502,0.21576
xx,xx,xx,xx,md,0.34756,0.39308,0.5556,0.59821,0.43001,0.38801
xx,xx,xx,xx,hi,0.55134,0.62743,0.90108,0.97578,0.71771,0.64008
xx,AND,Baseline,xx,lo,0.37791,0.37255,0.36743,0.36298,0.35979,0.35675
xx,xx,xx,xx,md,0.59282,0.58378,0.57711,0.57119,0.56664,0.56038
xx,xx,xx,xx,hi,0.91423,0.90243,0.89198,0.88243,0.87349,0.86496
xx,xx,With COVID,xx,lo,0.37791,0.42485,0.57225,0.603,0.43684,0.4021
xx,xx,xx,xx,md,0.59282,0.6667,0.93423,1.0076,0.72463,0.65657
