ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,HIV +ve,lo,41.8629,39.7282,37.7174,35.5038,34.1638,32.9109
xx,xx,xx,md,67.2867,62.2768,58.5456,55.5625,53.2174,51.1662
xx,xx,xx,hi,99.7605,92.7358,86.9247,82.1056,78.2015,74.9843
xx,COVID,All,lo,161.1262,155.6683,151.0199,142.7487,135.832,131.1255
xx,xx,xx,md,265.4527,249.5553,250.6735,246.8594,239.8432,236.0173
xx,xx,xx,hi,390.0919,368.4414,372.2986,370.6071,365.1184,361.9932
xx,xx,HIV +ve,lo,41.8629,39.5659,38.3804,35.9701,34.2496,32.9442
xx,xx,xx,md,67.2866,59.7806,59.9453,56.5657,53.8271,51.5677
xx,xx,xx,hi,99.7605,87.54,89.8876,83.8683,79.3673,75.8732
KGZ,Baseline,xx,lo,93.0903,91.7247,90.4399,89.5656,89.0267,88.5684
xx,xx,xx,md,109.5028,107.8331,106.6507,105.4282,104.5129,103.7932
xx,xx,xx,hi,127.0329,124.7296,122.862,121.0229,119.5836,118.8991
xx,COVID,xx,lo,93.0903,92.2081,105.3215,121.7734,118.5563,105.2033
xx,xx,xx,md,109.5028,108.1162,130.3434,172.2432,172.9325,157.9354
xx,xx,xx,hi,127.0329,124.4795,152.9468,210.7547,219.9712,207.5215
KHM,Baseline,xx,lo,187.3684,189.387,191.1802,191.616,192.14,192.7181
xx,xx,xx,md,287.4829,285.4361,284.4665,285.0146,284.0297,284.3709
xx,xx,xx,hi,409.226,403.0863,398.0925,392.8032,389.9882,389.3915
xx,COVID,xx,lo,187.3684,186.8788,197.1049,227.8484,228.1456,221.4051
xx,xx,xx,md,287.4829,280.1893,287.6915,327.993,334.8908,327.5392
xx,xx,xx,hi,409.226,393.747,396.8605,443.1647,452.3286,446.9051
LSO,Baseline,All,lo,395.689,378.6537,363.6149,342.8662,326.8342,319.4982
xx,xx,xx,md,639.1139,607.1768,580.8347,555.7667,539.4178,521.1511
xx,xx,xx,hi,939.311,905.4304,861.8997,834.0411,808.7886,785.4198
xx,xx,HIV +ve,lo,240.6039,215.6365,193.5236,180.122,169.9632,161.2937
xx,xx,xx,md,396.4592,379.6649,356.3433,340.3997,326.6803,314.5177
xx,xx,xx,hi,576.2149,542.1098,514.6368,495.2805,476.1564,457.5064
xx,COVID,All,lo,395.689,374.0362,378.8949,381.8368,349.4406,337.7263
xx,xx,xx,md,639.1139,592.3675,613.8106,635.1122,616.089,580.7091
xx,xx,xx,hi,939.311,876.5613,898.9236,940.5164,916.5659,878.3545
xx,xx,HIV +ve,lo,240.6039,213.4891,211.4307,209.4576,193.2958,177.8389
xx,xx,xx,md,396.4592,365.5311,382.9132,383.7132,357.9522,340.574
xx,xx,xx,hi,576.2149,515.2777,561.2395,575.7969,534.1604,505.7231
MEX,Baseline,xx,lo,17.9169,17.663,17.468,17.2996,17.166,17.0165
xx,xx,xx,md,22.8955,22.7243,22.5743,22.3768,22.2852,22.1577
xx,xx,xx,hi,29.1639,29.0989,29.0384,28.981,28.8626,28.739
xx,COVID,xx,lo,17.9169,17.3262,19.2074,20.6047,19.67,18.5597
xx,xx,xx,md,22.8955,22.6343,25.0858,28.0184,27.4241,26.1983
xx,xx,xx,hi,29.1639,29.1248,32.3835,36.2789,36.027,34.2414
MMR,Baseline,xx,lo,211.0536,207.7484,204.8507,205.2423,206.2824,206.0049
xx,xx,xx,md,321.2509,315.1382,310.6241,306.8003,305.8598,304.0969
xx,xx,xx,hi,445.5536,432.0494,421.8915,413.889,409.2057,407.9107
xx,COVID,xx,lo,211.0536,206.658,249.7411,311.3718,307.6173,291.4387
xx,xx,xx,md,321.2509,311.2546,360.1442,447.2763,443.036,426.8878
xx,xx,xx,hi,445.5536,426.1668,490.9561,605.6618,601.0089,572.9361
MNG,Baseline,xx,lo,221.2704,221.2704,221.2704,221.2704,221.2704,221.2704
xx,xx,xx,md,431.6895,431.6895,431.6895,431.6895,431.6895,431.6895
xx,xx,xx,hi,723.6085,723.6085,723.6085,723.6085,723.6085,723.6085
xx,COVID,xx,lo,221.2704,214.578,219.3549,230.9518,235.2112,234.0665
xx,xx,xx,md,431.6895,419.1431,428.8107,447.7964,450.5568,448.8005
xx,xx,xx,hi,723.6085,704.9708,706.4923,711.6586,718.596,725.2203
MYS,Baseline,xx,lo,78.9174,78.0902,77.384,76.8184,76.3895,75.7729
xx,xx,xx,md,92.3178,91.6716,91.1635,90.5632,90.2401,89.9695
xx,xx,xx,hi,105.4274,105.1033,104.5407,104.2164,103.9172,103.6349
xx,COVID,xx,lo,78.9174,77.2213,82.2471,89.6277,87.6996,83.5139
xx,xx,xx,md,92.3178,90.4317,96.9779,109.4168,110.151,105.4959
xx,xx,xx,hi,105.4274,103.7642,111.2163,129.6901,131.3177,126.7453
NPL,Baseline,xx,lo,140.3461,139.625,138.2624,136.3663,134.5945,133.3001
xx,xx,xx,md,237.4186,236.7372,233.0782,232.0206,231.164,230.4871
xx,xx,xx,hi,359.942,356.1582,352.8086,349.8346,347.1766,344.7889
xx,COVID,xx,lo,140.3461,134.8609,136.709,136.5658,135.1388,134.2493
xx,xx,xx,md,237.4186,229.8016,229.3928,231.7093,231.7051,231.2094
xx,xx,xx,hi,359.942,346.4448,346.3909,348.6551,347.2014,345.1151
PAK,Baseline,xx,lo,188.4001,187.1454,186.6994,183.2421,182.1017,180.4124
xx,xx,xx,md,260.8952,258.9063,256.0588,254.2676,254.4386,253.8349
xx,xx,xx,hi,349.3566,343.4092,338.9877,337.5099,338.0236,338.8547
xx,COVID,xx,lo,188.4001,185.3046,192.9522,184.9859,180.5895,179.2604
xx,xx,xx,md,260.8952,254.9856,264.1962,257.0183,251.6052,252.0415
xx,xx,xx,hi,349.3566,337.3006,347.8136,341.9334,335.6503,335.2231
PER,Baseline,xx,lo,89.7589,87.9911,86.6356,85.5992,84.8157,84.0532
xx,xx,xx,md,118.452,117.267,116.1385,115.5029,114.5682,113.7716
xx,xx,xx,hi,149.6459,146.4094,144.2239,142.5579,141.1417,139.9661
xx,COVID,xx,lo,89.7589,88.3887,100.7629,117.5119,116.1734,108.4513
xx,xx,xx,md,118.452,117.2357,129.8031,152.2429,154.7723,146.5515
xx,xx,xx,hi,149.6459,145.581,160.6369,188.0563,194.3642,184.4491
PHL,Baseline,xx,lo,306.0971,292.9106,282.317,273.9846,265.6688,258.9373
xx,xx,xx,md,544.6878,533.0334,524.0695,514.5739,505.3096,498.4108
xx,xx,xx,hi,858.9604,841.1403,826.5309,816.3016,807.9096,801.0825
xx,COVID,xx,lo,306.0971,290.585,347.3064,446.5217,459.5994,432.8029
xx,xx,xx,md,544.6878,533.1402,650.3241,850.0852,873.7692,823.8091
xx,xx,xx,hi,858.9604,852.3575,1037.9684,1332.632,1366.516,1295.7219
PNG,Baseline,All,lo,349.6155,345.507,341.459,337.476,333.5997,329.8859
xx,xx,xx,md,432.0355,430.1963,428.1453,427.151,425.8143,425.4112
xx,xx,xx,hi,522.3329,521.1531,519.2582,516.0781,512.9274,511.894
xx,xx,HIV +ve,lo,16.8443,16.6218,16.3898,16.1284,15.8505,15.3017
xx,xx,xx,md,45.646,44.9677,44.3588,44.0691,43.722,43.3454
xx,xx,xx,hi,88.8892,89.2323,89.1095,88.6776,88.0433,87.2796
xx,COVID,All,lo,349.6155,336.0726,336.7758,367.8969,372.2418,360.7213
xx,xx,xx,md,432.0355,417.6999,424.1708,466.1895,477.6573,470.6846
xx,xx,xx,hi,522.3329,506.796,514.1321,558.8756,572.8864,566.6463
xx,xx,HIV +ve,lo,16.8443,15.9573,16.2755,17.6713,17.2442,16.5338
xx,xx,xx,md,45.646,41.8234,46.0286,53.2453,49.722,47.7369
xx,xx,xx,hi,88.8892,80.5921,92.5708,110.2033,101.9038,97.3434
PRK,Baseline,xx,lo,442.7892,439.1401,437.3633,436.3232,435.7262,434.3245
xx,xx,xx,md,508.3548,505.3007,503.22,500.3427,499.3485,498.3867
xx,xx,xx,hi,580.9087,577.3268,574.2639,573.6987,573.3661,573.2236
xx,COVID,xx,lo,442.7892,420.6995,412.3949,417.517,418.9619,419.3072
xx,xx,xx,md,508.3548,487.9422,476.5307,480.9762,482.3794,481.6061
xx,xx,xx,hi,580.9087,557.527,544.977,550.7475,554.1926,556.6434
ROU,Baseline,xx,lo,55.6526,55.0863,54.5451,54.1157,53.7021,53.1357
xx,xx,xx,md,65.1687,64.4317,63.6679,63.3084,62.8038,62.2956
xx,xx,xx,hi,75.1669,74.1859,73.3002,72.4328,71.6737,71.0099
xx,COVID,xx,lo,55.6526,55.0091,60.6467,64.6861,60.9617,55.6052
