Region,ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,xx,md,10.241,10.2033,10.1778,10.1252,10.0919,10.0683,10.0282,9.9704,9.9396,9.9179,9.8854,9.854,9.7737,9.7326,9.7245,9.7194,9.545,9.2656,9.0959,9.144,9.2143,9.2719,9.3283,9.3445,9.4269,9.4203,9.4692,9.5112,9.5478,9.5687,9.555,9.5897,9.616,9.6262,9.6346,9.6396,9.6368,9.6292,9.6198,9.6167,9.6153,9.6066,9.5723,9.5295,9.5041,9.4778,9.4439,9.4053,9.3644,9.3405,9.3124,9.2748,9.2454,9.2116,9.1853,9.1726,9.1501,9.1137,9.0783,9.0437,9.0174,8.9785,8.9445,8.9164,8.8978,8.8792,8.8606,8.8348,8.806,8.7898,8.7738,8.7578
xx,xx,xx,xx,hi,13.0481,12.9906,12.9337,12.8473,12.7418,12.6643,12.5911,12.5158,12.4418,12.3693,12.2981,12.2636,12.2318,12.2028,12.1779,12.1581,11.9885,11.9299,11.8784,11.8379,11.805,11.8739,11.9343,11.973,12.0227,12.1125,12.1799,12.234,12.282,12.3281,12.3401,12.3402,12.3393,12.3376,12.3214,12.2934,12.2656,12.2382,12.2265,12.2386,12.2388,12.2245,12.2086,12.2,12.1783,12.1417,12.1031,12.0636,12.0236,11.9833,11.943,11.9033,11.8675,11.8375,11.8076,11.7778,11.7483,11.719,11.6899,11.661,11.6325,11.6043,11.5764,11.5488,11.5214,11.4942,11.4673,11.4405,11.4139,11.3875,11.3613,11.3352
xx,NAM,Baseline,All,lo,29.3568,29.3169,29.2778,29.2392,29.201,29.1633,29.1156,29.0791,29.0272,28.916,28.8555,28.797,28.7389,28.6812,28.624,28.5671,28.5065,28.4415,28.3767,28.3121,28.2478,28.1837,28.0443,27.8938,27.7456,27.6004,27.4631,27.3278,27.1773,26.9966,26.8577,26.7385,26.6315,26.5289,26.4301,26.3258,26.2234,26.1226,26.0233,25.9256,25.8295,25.7348,25.6415,25.5498,25.4594,25.3704,25.2828,25.1965,25.1115,25.0279,24.9455,24.8643,24.7844,24.7057,24.6211,24.5397,24.4598,24.3814,24.3043,24.2285,24.1541,24.081,24.0092,23.9386,23.8692,23.8011,23.734,23.6681,23.6034,23.5397,23.477,23.4154
xx,xx,xx,xx,md,40.4763,40.3464,40.2178,40.0827,39.9638,39.6671,39.4808,39.3007,39.1549,39.1304,39.1063,39.021,38.7793,38.7076,38.6373,38.5491,38.4281,38.3683,38.2929,38.1887,38.1097,38.0311,37.9529,37.875,37.7976,37.7206,37.6439,37.5676,37.4917,37.331,37.2989,37.1908,36.9889,36.9398,36.8904,36.8409,36.7911,36.7411,36.6909,36.6404,36.5898,36.5371,36.438,36.336,36.2349,36.1346,36.0351,35.9364,35.9094,35.8553,35.7525,35.6513,35.5515,35.4531,35.3803,35.2841,35.2165,35.1511,35.0859,35.0209,34.9561,34.8915,34.8355,34.7979,34.6986,34.6347,34.5899,34.5639,34.5381,34.46,34.3801,34.3371
xx,xx,xx,xx,hi,52.6682,52.3561,52.0495,51.7485,51.4528,51.1624,50.8771,50.597,50.3218,50.0998,49.9518,49.864,49.7763,49.6887,49.6012,49.5138,49.4265,49.3392,49.2521,49.1651,49.0782,48.9914,48.9048,48.8182,48.7318,48.6454,48.5592,48.4731,48.3872,48.3013,48.2156,48.13,48.0445,47.9592,47.874,47.7889,47.7039,47.6191,47.5586,47.5067,47.4549,47.403,47.3512,47.2994,47.2476,47.1958,47.144,47.0922,47.0404,46.9886,46.9369,46.8851,46.8333,46.7815,46.7297,46.6779,46.6261,46.5742,46.5224,46.4705,46.4186,46.3668,46.3148,46.2629,46.2109,46.159,46.107,46.0549,46.0029,45.9508,45.8987,45.8465
xx,xx,xx,HIV +ve,lo,9.5281,9.4865,9.4308,9.3787,9.3275,9.2774,9.2281,9.1797,9.1321,9.0854,9.0395,8.9944,8.95,8.9064,8.8515,8.7733,8.7021,8.6323,8.5639,8.4969,8.4322,8.3722,8.3181,8.2906,8.2635,8.2367,8.2101,8.1839,8.1577,8.1132,8.0695,8.0266,7.9845,7.9431,7.9024,7.8624,7.8231,7.7845,7.7465,7.7092,7.6368,7.5668,7.498,7.4576,7.4354,7.41,7.385,7.3604,7.3361,7.3123,7.2888,7.2659,7.2445,7.2233,7.2024,7.1819,7.1616,7.1378,7.1105,7.0836,7.057,7.0308,7.0049,6.9794,6.9542,6.9293,6.9048,6.878,6.8408,6.8042,6.7683,6.7329
xx,xx,xx,xx,md,13.0178,12.9809,12.9214,12.8773,12.7854,12.7061,12.6723,12.6075,12.5634,12.4669,12.4081,12.3904,12.3298,12.2698,12.2105,12.1518,12.0938,12.0501,12.0238,12.0001,11.9436,11.8739,11.8064,11.7411,11.715,11.671,11.6458,11.6054,11.5603,11.5383,11.5164,11.4945,11.4727,11.4509,11.4292,11.3825,11.3535,11.3263,11.2993,11.2732,11.2613,11.2494,11.2375,11.2071,11.1745,11.1424,11.1109,11.0798,11.0493,11.0193,10.9898,10.9607,10.9335,10.9083,10.8831,10.859,10.8437,10.8284,10.813,10.7672,10.7338,10.7092,10.6847,10.6603,10.636,10.6117,10.5875,10.5633,10.5392,10.5179,10.4925,10.4674
xx,xx,xx,xx,hi,17.2796,17.2317,17.1839,17.1367,17.0905,17.0453,17.001,16.9574,16.9147,16.8728,16.8316,16.7912,16.7515,16.7272,16.7051,16.6833,16.6615,16.64,16.6186,16.5973,16.5762,16.5552,16.5343,16.5135,16.4928,16.4722,16.4516,16.4312,16.4108,16.3901,16.3666,16.3431,16.3196,16.2961,16.2727,16.239,16.1696,16.0974,16.0266,15.9571,15.9142,15.8915,15.8687,15.846,15.8231,15.8003,15.7774,15.7505,15.7234,15.6963,15.6693,15.6422,15.6152,15.5881,15.5611,15.534,15.507,15.4799,15.4528,15.4257,15.3986,15.3715,15.3443,15.3172,15.29,15.2627,15.2355,15.2082,15.1809,15.1535,15.1261,15.0987
xx,xx,With COVID,All,lo,29.3568,29.3169,29.2778,29.2392,29.201,29.1633,29.1156,29.0791,29.0272,28.916,28.8555,28.797,28.7397,28.6915,28.658,28.623,28.0858,27.2426,26.2972,26.4712,26.7783,26.934,27.062,27.1742,27.2734,27.36,27.4348,27.4515,27.4334,27.4177,27.4098,27.4344,27.4875,27.5377,27.6085,27.6871,27.7644,27.8378,27.9071,27.9694,28.0026,27.9724,27.9216,27.8542,27.7765,27.6888,27.5931,27.4911,27.3844,27.2742,27.1614,27.0471,26.9317,26.8158,26.7,26.5845,26.4697,26.3558,26.243,26.1313,26.021,25.9122,25.8048,25.6989,25.5946,25.4919,25.3908,25.2912,25.1933,25.0969,25.005,24.9257
xx,xx,xx,xx,md,40.4763,40.3464,40.2178,40.0827,39.9638,39.6671,39.4808,39.3006,39.1549,39.1304,39.1063,39.021,38.78,38.7167,38.6678,38.633,37.9952,37.1221,36.309,36.5978,36.8421,37.1217,37.3931,37.6225,37.7203,37.8152,37.9865,38.1037,38.1045,38.1308,38.2285,38.3485,38.438,38.5264,38.6137,38.7032,38.8461,38.9167,38.9811,39.039,39.0848,39.1136,39.1076,39.0839,39.065,39.0312,38.9851,38.929,38.8647,38.7937,38.7174,38.6367,38.5526,38.4659,38.3772,38.2869,38.1955,38.1035,38.0064,37.8848,37.7636,37.6429,37.523,37.404,37.286,37.1692,37.0537,36.9586,36.9184,36.8409,36.709,36.6075
xx,xx,xx,xx,hi,52.6682,52.3561,52.0495,51.7485,51.4528,51.1624,50.8771,50.597,50.3218,50.0997,49.9518,49.864,49.777,49.6976,49.6301,49.5731,48.5887,47.8591,46.8517,47.053,47.4101,47.6009,47.6583,47.912,48.1081,48.2738,48.4573,48.673,48.882,49.0907,49.2991,49.505,49.7068,49.9052,50.1005,50.2931,50.4823,50.645,50.7567,50.8562,50.9334,50.9801,51.0006,50.9991,50.9793,50.9445,50.8971,50.8394,50.7732,50.7001,50.6215,50.5383,50.4515,50.3619,50.2702,50.1766,50.0785,49.9795,49.8798,49.7796,49.6792,49.5788,49.4786,49.3786,49.279,49.1798,49.0811,48.9831,48.8856,48.7888,48.6928,48.5974
