ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,md,5.0343,5.0213,5.0086,5.0041,5.0011,4.9981,4.9952,4.9811,4.964,4.9473,4.9405,4.9366,4.9248,4.9133,4.902,4.8924,4.8564,4.7989,4.7532,4.7689,4.7899,4.8339,4.8644,4.8992,4.9425,4.9955,5.0478,5.0923,5.1283,5.1832,5.2387,5.294,5.3471,5.3909,5.4443,5.4777,5.5351,5.5682,5.5822,5.593,5.6032,5.5948,5.5833,5.5742,5.5635,5.5507,5.5283,5.5151,5.5061,5.4836,5.4693,5.4549,5.4318,5.4093,5.3946,5.3781,5.3626,5.3474,5.3324,5.3164,5.2984,5.2848,5.2713,5.2577,5.2441,5.2307,5.2203,5.2101,5.1987,5.187,5.1757,5.1629
xx,xx,xx,hi,6.3554,6.3457,6.3332,6.3202,6.3075,6.2949,6.2826,6.2705,6.2587,6.2471,6.2357,6.2246,6.2136,6.2029,6.1924,6.1825,6.1209,6.0107,5.9067,5.9278,5.9638,5.997,6.0344,6.0752,6.1208,6.1717,6.228,6.2893,6.3542,6.4207,6.492,6.5979,6.7008,6.7673,6.8248,6.8898,6.9664,7.0329,7.0827,7.1181,7.1417,7.1557,7.1619,7.1618,7.1567,7.1474,7.1349,7.1198,7.1027,7.0841,7.0642,7.0435,7.0222,7.0004,6.9766,6.9484,6.9204,6.8929,6.8658,6.8392,6.8131,6.7876,6.7626,6.7382,6.7143,6.6909,6.6681,6.6458,6.624,6.6028,6.582,6.5617
BGD,Baseline,xx,lo,13.4564,13.459,13.4619,13.4752,13.5087,13.5423,13.5758,13.6094,13.6429,13.6764,13.7099,13.7434,13.7694,13.7936,13.8192,13.8455,13.8604,13.8754,13.8906,13.9061,13.9124,13.9088,13.9057,13.9028,13.9003,13.8982,13.8963,13.8957,13.8956,13.8957,13.8962,13.8969,13.898,13.8993,13.9009,13.9028,13.9049,13.9073,13.9099,13.9284,13.9475,13.9668,13.9863,14.0059,14.0256,14.0455,14.0655,14.0856,14.1059,14.1263,14.1468,14.1675,14.1882,14.2091,14.2301,14.2512,14.2724,14.2937,14.3151,14.3366,14.3404,14.3407,14.341,14.3413,14.3416,14.342,14.3423,14.3427,14.3432,14.3436,14.344,14.3445
xx,xx,xx,md,18.507,18.4614,18.4236,18.4184,18.4058,18.386,18.3589,18.3363,18.3142,18.2927,18.2742,18.2603,18.2766,18.293,18.3096,18.3263,18.3431,18.36,18.3705,18.3456,18.3213,18.2976,18.2744,18.2518,18.2828,18.3194,18.3393,18.3256,18.3065,18.288,18.2703,18.2532,18.2519,18.2608,18.2335,18.2273,18.2358,18.2447,18.254,18.2486,18.2361,18.2425,18.2491,18.247,18.2202,18.2385,18.2585,18.27,18.2419,18.2271,18.2242,18.2214,18.2315,18.2618,18.2565,18.2516,18.2471,18.2431,18.2394,18.2361,18.2151,18.2122,18.2094,18.2069,18.1956,18.2022,18.2001,18.1982,18.1964,18.1948,18.214,18.2209
xx,xx,xx,hi,24.3431,24.2766,24.2113,24.1475,24.085,24.0238,23.964,23.9054,23.8481,23.792,23.7372,23.6835,23.6311,23.5798,23.5297,23.4807,23.4328,23.386,23.3404,23.2957,23.2521,23.2096,23.1681,23.1275,23.088,23.0494,23.0118,22.9751,22.9394,22.9045,22.8706,22.8375,22.8092,22.7894,22.7704,22.7521,22.7347,22.718,22.7006,22.6837,22.6676,22.6523,22.6376,22.6237,22.6105,22.598,22.5932,22.5916,22.5905,22.5768,22.556,22.5357,22.516,22.4967,22.4779,22.4596,22.4417,22.4243,22.4072,22.3892,22.3716,22.3546,22.3379,22.3217,22.3059,22.2959,22.292,22.2884,22.2956,22.3055,22.3156,22.3259
xx,COVID,xx,lo,13.4564,13.459,13.4619,13.4752,13.5087,13.5423,13.5758,13.6094,13.6429,13.6764,13.7099,13.7434,13.7694,13.7936,13.8192,13.8495,13.667,13.3173,13.1622,13.4372,13.7753,14.0245,14.1823,14.318,14.4346,14.5299,14.5839,14.6198,14.6444,14.6648,14.6842,14.6944,14.6959,14.6906,14.676,14.6509,14.619,14.5887,14.5659,14.5492,14.5373,14.529,14.5236,14.5204,14.519,14.5189,14.5199,14.5219,14.5246,14.5279,14.5323,14.5378,14.5436,14.5474,14.5406,14.534,14.5278,14.5217,14.516,14.5104,14.505,14.4999,14.4949,14.4901,14.4855,14.481,14.4767,14.4726,14.4685,14.4647,14.4609,14.4573
xx,xx,xx,md,18.507,18.4614,18.4236,18.4184,18.4058,18.386,18.3589,18.3363,18.3142,18.2927,18.2742,18.2603,18.2766,18.293,18.3096,18.3292,18.1278,17.7347,17.5247,17.7529,17.9209,18.1266,18.3237,18.5011,18.6426,18.7384,18.8239,18.8998,18.9388,18.9501,18.9939,19.0627,19.0554,19.0402,19.0147,18.9924,18.9526,18.8863,18.8592,18.8124,18.8026,18.7949,18.7892,18.785,18.782,18.7741,18.762,18.7647,18.7456,18.7278,18.711,18.6951,18.68,18.6656,18.6954,18.7286,18.7196,18.7474,18.7337,18.7204,18.7076,18.6951,18.683,18.6712,18.6598,18.6487,18.6089,18.6163,18.6172,18.6072,18.5976,18.5882
xx,xx,xx,hi,24.3431,24.2766,24.2113,24.1475,24.085,24.0238,23.964,23.9054,23.8481,23.792,23.7372,23.6835,23.6311,23.5798,23.5297,23.4839,23.2109,22.7333,22.3917,22.5376,22.7341,22.9141,23.1004,23.2708,23.4194,23.5432,23.6403,23.7149,23.7683,23.8015,23.818,23.8182,23.8024,23.7733,23.7277,23.6784,23.6263,23.5725,23.5243,23.4814,23.4418,23.406,23.3734,23.3435,23.316,23.2905,23.2669,23.2449,23.2243,23.1928,23.1549,23.118,23.0823,23.0474,23.0189,22.993,22.9678,22.9432,22.9193,22.8959,22.8728,22.8492,22.8261,22.8036,22.7816,22.7639,22.7521,22.7408,22.7301,22.7199,22.7102,22.7018
BRA,Baseline,All,lo,3.254,3.2556,3.2571,3.2586,3.2604,3.2622,3.2639,3.2657,3.2675,3.2693,3.2711,3.2729,3.2747,3.2765,3.2783,3.2801,3.2819,3.2837,3.2855,3.2873,3.2891,3.2909,3.2928,3.2946,3.2964,3.2982,3.3,3.3018,3.3036,3.3054,3.3072,3.309,3.3108,3.3126,3.3144,3.3162,3.318,3.3198,3.3216,3.3234,3.3252,3.327,3.3288,3.3306,3.3324,3.3342,3.336,3.3378,3.3396,3.3412,3.3424,3.3437,3.3449,3.3462,3.3475,3.3487,3.35,3.3512,3.3525,3.3537,3.355,3.3562,3.3575,3.3587,3.36,3.3613,3.3625,3.3638,3.3651,3.3664,3.3677,3.369
xx,xx,xx,md,3.8214,3.8226,3.8238,3.825,3.8262,3.8274,3.8286,3.8298,3.831,3.8322,3.8334,3.8346,3.836,3.8386,3.8413,3.844,3.8466,3.8493,3.852,3.8547,3.8573,3.86,3.8627,3.8654,3.8681,3.8707,3.8734,3.8761,3.8788,3.8815,3.8842,3.8868,3.8895,3.8922,3.8949,3.8976,3.9001,3.9023,3.9057,3.9084,3.9111,3.9138,3.9165,3.9192,3.9219,3.9246,3.9273,3.93,3.9327,3.9354,3.9381,3.9408,3.9435,3.9462,3.949,3.9517,3.9544,3.9571,3.9598,3.9625,3.9652,3.9681,3.9716,3.9751,3.9786,3.9821,3.9856,3.989,3.9905,3.992,3.9935,3.9951
