Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,xx,md,26.9615,26.5818,28.3495,30.7679,30.0421,28.7901
xx,xx,xx,xx,hi,31.4093,31.2231,34.1982,38.1606,37.6599,36.0028
xx,BOL,Baseline,xx,lo,68.5201,67.8068,67.1654,66.5727,66.0138,65.479
xx,xx,xx,xx,md,104.3304,103.3869,102.6628,102.1334,101.3868,100.6949
xx,xx,xx,xx,hi,150.3462,149.0524,147.8837,146.8576,145.9482,145.1346
xx,xx,With COVID,xx,lo,68.5201,67.1106,71.3647,74.7849,72.5894,70.2933
xx,xx,xx,xx,md,104.3304,102.5612,109.4727,116.8376,114.6468,110.0957
xx,xx,xx,xx,hi,150.3462,149.4245,160.7744,178.8106,175.9965,167.6099
xx,CHL,Baseline,xx,lo,14.9298,14.7932,14.652,14.5053,14.3571,14.2148
xx,xx,xx,xx,md,17.9668,17.7722,17.6695,17.5354,17.4094,17.3192
xx,xx,xx,xx,hi,20.384,20.3015,20.2353,20.1768,20.1242,20.0975
xx,xx,With COVID,xx,lo,14.9298,14.6433,15.1743,15.5644,15.2696,14.8235
xx,xx,xx,xx,md,17.9668,17.6457,19.009,20.4355,19.797,18.9582
xx,xx,xx,xx,hi,20.384,20.2708,22.2508,25.6227,24.8081,23.6798
xx,CRI,Baseline,xx,lo,7.8489,7.7702,7.7008,7.6375,7.5627,7.4914
xx,xx,xx,xx,md,9.8886,9.7989,9.7611,9.7213,9.6553,9.6236
xx,xx,xx,xx,hi,12.9754,12.8789,12.7975,12.7243,12.6546,12.5911
xx,xx,With COVID,xx,lo,7.8489,7.6924,8.1198,8.4837,8.2461,7.942
xx,xx,xx,xx,md,9.8886,9.7272,10.5176,11.4556,11.122,10.6549
xx,xx,xx,xx,hi,12.9754,12.7781,13.9155,15.4785,15.1423,14.4537
xx,CUB,Baseline,xx,lo,5.5411,5.5043,5.4594,5.4106,5.3607,5.3205
xx,xx,xx,xx,md,6.4562,6.4015,6.3297,6.2866,6.2367,6.2108
xx,xx,xx,xx,hi,7.7053,7.6732,7.6323,7.5934,7.5787,7.5423
xx,xx,With COVID,xx,lo,5.5411,5.3976,5.8161,6.0783,5.8749,5.6752
xx,xx,xx,xx,md,6.4562,6.3313,6.8121,7.3737,7.1811,6.9009
xx,xx,xx,xx,hi,7.7053,7.5893,8.1326,9.0942,8.9432,8.5171
xx,DOM,Baseline,xx,lo,31.3843,31.3275,31.2821,31.173,31.0565,30.9506
xx,xx,xx,xx,md,42.211,41.8173,41.3656,41.1221,40.9119,40.5135
xx,xx,xx,xx,hi,53.3139,53.1147,52.9452,52.7729,52.7115,52.673
xx,xx,With COVID,xx,lo,31.3843,30.9392,33.4301,34.3884,33.6849,32.8929
xx,xx,xx,xx,md,42.211,41.3432,44.5244,47.5448,46.2964,44.5861
xx,xx,xx,xx,hi,53.3139,52.7361,57.1287,61.9921,61.1597,58.9405
xx,ECU,Baseline,xx,lo,34.2345,33.6792,33.2074,32.8,32.4422,32.1228
xx,xx,xx,xx,md,45.1742,44.6783,44.3273,44.0525,43.744,43.5507
xx,xx,xx,xx,hi,58.3876,57.831,57.334,56.877,56.4473,56.0368
xx,xx,With COVID,xx,lo,34.2345,33.1891,35.4863,37.9352,36.413,34.6729
xx,xx,xx,xx,md,45.1742,44.2499,47.7433,51.1897,50.0139,47.7977
xx,xx,xx,xx,hi,58.3876,57.2571,61.867,68.6436,67.9798,64.3136
xx,GRD,Baseline,xx,lo,2.6037,2.5727,2.5441,2.519,2.4973,2.4738
xx,xx,xx,xx,md,3.0829,3.0583,3.0343,3.0079,2.9881,2.9711
xx,xx,xx,xx,hi,3.656,3.6462,3.6323,3.6196,3.6069,3.5942
xx,xx,With COVID,xx,lo,2.6037,2.5447,2.6445,2.7124,2.6443,2.5643
xx,xx,xx,xx,md,3.0829,3.0235,3.2328,3.461,3.388,3.2574
xx,xx,xx,xx,hi,3.656,3.6122,3.9456,4.4428,4.2744,4.1425
xx,GTM,Baseline,xx,lo,20.315,20.1856,20.0633,19.9533,19.8466,19.7333
xx,xx,xx,xx,md,25.6842,25.428,25.2619,25.1133,24.9376,24.8118
xx,xx,xx,xx,hi,33.2018,33.0008,32.8602,32.6164,32.3649,32.1209
xx,xx,With COVID,xx,lo,20.315,20.0276,21.3266,21.88,21.3201,20.5706
xx,xx,xx,xx,md,25.6842,25.2125,27.0845,29.3029,28.644,27.476
xx,xx,xx,xx,hi,33.2018,32.6636,35.9686,40.1843,38.2087,35.8085
xx,GUY,Baseline,xx,lo,62.0018,61.4956,61.0572,60.6707,60.3242,60.0088
