ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,HIV +ve,lo,14.2652,12.9447,12.0076,11.3054,10.599,10.1534
xx,xx,xx,md,23.1116,21.4005,19.8881,18.6479,17.8233,16.9139
xx,xx,xx,hi,34.8727,32.5067,30.466,28.8193,27.4772,26.3435
xx,COVID,All,lo,41.382,40.8232,41.1672,37.1321,35.2643,33.9834
xx,xx,xx,md,60.8935,59.7098,60.0305,56.1406,54.2298,53.1269
xx,xx,xx,hi,84.1453,82.6271,83.0586,78.6058,76.4508,74.9661
xx,xx,HIV +ve,lo,14.2652,13.286,13.2642,11.8108,10.8357,10.2545
xx,xx,xx,md,23.1116,21.6725,21.4157,19.2973,18.1475,17.1019
xx,xx,xx,hi,34.8727,32.8285,32.3651,29.6451,27.8761,26.5924
KGZ,Baseline,xx,lo,4.8597,4.7379,4.6245,4.5373,4.4635,4.3917
xx,xx,xx,md,4.9548,4.8694,4.7951,4.7397,4.6901,4.6521
xx,xx,xx,hi,5.1133,5.0406,5.0025,4.9794,4.9608,4.9442
xx,COVID,xx,lo,4.8597,5.753,8.9585,10.0649,6.3137,5.6034
xx,xx,xx,md,4.9548,6.1744,10.4756,12.9744,8.1935,7.2294
xx,xx,xx,hi,5.1133,6.7232,12.5585,15.5133,9.7844,8.8433
KHM,Baseline,xx,lo,12.9777,12.8793,12.8096,12.7636,12.7373,12.7275
xx,xx,xx,md,19.8416,19.6177,19.5206,19.4284,19.4499,19.4464
xx,xx,xx,hi,27.7585,27.244,26.943,26.7949,26.6931,26.7337
xx,COVID,xx,lo,12.9777,13.27,15.8593,17.6396,14.9763,14.5429
xx,xx,xx,md,19.8416,20.0626,24.0879,26.7822,23.2481,22.6218
xx,xx,xx,hi,27.7585,27.7777,32.4469,36.3613,31.8524,30.9052
LSO,Baseline,All,lo,147.4304,136.1566,124.3207,115.2184,108.2629,102.9219
xx,xx,xx,md,219.2638,205.9492,194.8363,183.6544,175.6179,168.7493
xx,xx,xx,hi,299.9957,282.0429,264.8705,251.7807,242.4538,234.6254
xx,xx,HIV +ve,lo,98.4152,93.8509,87.2735,80.2272,74.3844,68.7047
xx,xx,xx,md,162.1179,153.2764,144.2342,135.6526,128.0643,122.2686
xx,xx,xx,hi,239.896,225.452,213.1132,201.8086,191.8466,183.2868
xx,COVID,All,lo,147.4304,147.2167,158.6398,151.4366,130.073,118.925
xx,xx,xx,md,219.2638,217.3989,234.0958,230.0561,204.628,190.3468
xx,xx,xx,hi,299.9957,297.0545,329.465,330.2289,289.7226,267.7551
xx,xx,HIV +ve,lo,98.4152,99.4732,105.301,102.7043,87.1776,79.4882
xx,xx,xx,md,162.1179,162.3149,171.6049,165.2656,146.7219,135.7014
xx,xx,xx,hi,239.896,235.8028,249.6079,251.0127,220.1053,201.8205
MEX,Baseline,xx,lo,2.2046,2.1832,2.1649,2.1448,2.1272,2.1143
xx,xx,xx,md,2.3905,2.3709,2.3518,2.3356,2.3235,2.3104
xx,xx,xx,hi,2.6008,2.5862,2.5697,2.5558,2.5431,2.5312
xx,COVID,xx,lo,2.2046,2.5788,3.3778,3.424,2.6075,2.4041
xx,xx,xx,md,2.3905,2.8262,3.759,3.9103,3.0283,2.8002
xx,xx,xx,hi,2.6008,3.1108,4.2073,4.4149,3.4279,3.1544
MMR,Baseline,xx,lo,26.4918,25.8366,25.1384,24.7735,24.8748,24.5814
xx,xx,xx,md,40.2796,39.4803,39.2247,38.3793,37.934,37.9116
xx,xx,xx,hi,58.388,57.0084,55.8953,55.0731,54.4138,53.935
xx,COVID,xx,lo,26.4918,30.9327,50.5889,49.273,38.1069,35.8045
xx,xx,xx,md,40.2796,44.0185,67.4459,67.518,55.9848,52.6609
xx,xx,xx,hi,58.388,62.9807,93.9272,94.6225,78.5193,73.8468
MNG,Baseline,xx,lo,9.1626,9.1626,9.1626,9.1626,9.1626,9.1626
xx,xx,xx,md,9.8976,9.8976,9.8976,9.8976,9.8976,9.8976
xx,xx,xx,hi,11.7155,11.7155,11.7155,11.7155,11.7155,11.7155
xx,COVID,xx,lo,9.1626,9.1403,9.566,9.9621,9.7943,9.6554
xx,xx,xx,md,9.8976,9.8575,10.939,11.481,11.1678,10.9545
xx,xx,xx,hi,11.7155,11.7266,15.8926,18.1808,15.4256,14.5344
MYS,Baseline,xx,lo,3.6924,3.6545,3.6089,3.5682,3.5316,3.5091
xx,xx,xx,md,5.7464,5.712,5.6838,5.6597,5.6388,5.6331
xx,xx,xx,hi,8.397,8.3548,8.3202,8.2919,8.2687,8.2498
xx,COVID,xx,lo,3.6924,4.076,5.0632,5.4884,4.2742,4.0569
