ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,md,0.506,0.50514,0.50434,0.50345,0.50246,0.50154,0.50061,0.50015,0.49946,0.49877,0.49804,0.49733,0.49632,0.49587,0.49467,0.49868,0.51995,0.53462,0.54015,0.56019,0.57475,0.59564,0.6114,0.63324,0.65626,0.68059,0.70522,0.72732,0.74649,0.75808,0.765,0.77084,0.77576,0.77671,0.78274,0.78919,0.78565,0.75348,0.72242,0.69653,0.67542,0.65545,0.64102,0.62739,0.61513,0.60639,0.59715,0.59001,0.58421,0.57822,0.57289,0.56814,0.56393,0.55987,0.55575,0.55269,0.54912,0.54635,0.54391,0.5411,0.53865,0.53622,0.5339,0.53168,0.53002,0.52846,0.52693,0.52493,0.52283,0.5208,0.51912,0.51775
xx,xx,xx,hi,0.55035,0.54953,0.54871,0.54791,0.54713,0.54636,0.54561,0.54487,0.54414,0.54343,0.54272,0.54201,0.54132,0.54063,0.53996,0.54348,0.56572,0.58096,0.58607,0.60705,0.62264,0.64526,0.6633,0.68886,0.71672,0.74638,0.77494,0.8003,0.82295,0.83788,0.84536,0.85167,0.8593,0.86598,0.87662,0.89023,0.89279,0.85562,0.81975,0.79053,0.76673,0.74855,0.73334,0.72043,0.70942,0.69994,0.69121,0.68336,0.6762,0.66974,0.66387,0.65849,0.65354,0.64895,0.64467,0.64066,0.63689,0.63334,0.62997,0.62678,0.62374,0.62084,0.61806,0.6154,0.61301,0.61102,0.60908,0.60721,0.60547,0.60396,0.60248,0.60102
BGD,Baseline,xx,lo,1.2494,1.2503,1.2512,1.2522,1.2532,1.2542,1.2553,1.2564,1.2576,1.2587,1.26,1.2612,1.2625,1.2638,1.2635,1.2621,1.2608,1.2596,1.2583,1.2572,1.256,1.2549,1.2538,1.2528,1.2517,1.2509,1.2502,1.2494,1.2487,1.2481,1.2474,1.2456,1.2433,1.241,1.2387,1.2377,1.2369,1.2362,1.2354,1.2347,1.234,1.2334,1.2327,1.2321,1.2315,1.231,1.2306,1.2299,1.2283,1.2267,1.2251,1.2236,1.2221,1.2206,1.2191,1.2177,1.2162,1.2148,1.2135,1.2121,1.2108,1.2094,1.2081,1.2069,1.2056,1.2044,1.2031,1.2019,1.2007,1.1996,1.1984,1.1973
xx,xx,xx,md,1.9846,1.983,1.9814,1.9798,1.9765,1.975,1.9735,1.9721,1.9707,1.9694,1.9681,1.9669,1.9658,1.9635,1.9604,1.9573,1.9544,1.9515,1.9463,1.9409,1.9355,1.9302,1.925,1.92,1.915,1.9101,1.9065,1.904,1.9015,1.8973,1.8934,1.8915,1.8889,1.883,1.8819,1.8817,1.8815,1.8812,1.8791,1.8771,1.8752,1.8748,1.8739,1.8731,1.8725,1.872,1.8715,1.8709,1.8705,1.87,1.8696,1.8692,1.8671,1.8669,1.8673,1.8652,1.8618,1.8585,1.8566,1.8558,1.855,1.8542,1.8527,1.8499,1.8472,1.8445,1.8419,1.8416,1.838,1.8344,1.8324,1.8332
xx,xx,xx,hi,2.9275,2.9192,2.911,2.902,2.8911,2.8803,2.8697,2.8592,2.8508,2.8429,2.8352,2.8276,2.8201,2.8128,2.8056,2.7985,2.7916,2.7848,2.7781,2.7715,2.7651,2.7588,2.7526,2.7466,2.7406,2.7348,2.729,2.7234,2.7179,2.7122,2.7066,2.7012,2.6958,2.6897,2.6823,2.6751,2.668,2.6609,2.654,2.6472,2.6406,2.6348,2.6307,2.6266,2.6227,2.6188,2.615,2.6113,2.6076,2.604,2.6005,2.5969,2.5933,2.5899,2.5865,2.5831,2.5798,2.5766,2.5735,2.5704,2.5674,2.5644,2.5615,2.5587,2.5559,2.5532,2.5505,2.5479,2.5453,2.5428,2.5404,2.538
xx,COVID,xx,lo,1.2494,1.2503,1.2512,1.2522,1.2532,1.2542,1.2553,1.2564,1.2576,1.2587,1.26,1.2612,1.2625,1.2638,1.2635,1.2847,1.4016,1.5304,1.6159,1.6206,1.5954,1.5737,1.5526,1.538,1.5236,1.4947,1.462,1.4345,1.4103,1.3893,1.3701,1.3484,1.3287,1.3069,1.2727,1.2451,1.2287,1.2308,1.2389,1.243,1.2445,1.2473,1.2495,1.2515,1.2528,1.2535,1.2538,1.2538,1.2531,1.2517,1.2502,1.2485,1.2468,1.2451,1.2436,1.2424,1.2411,1.2399,1.2386,1.2374,1.2362,1.2351,1.2339,1.2328,1.2317,1.2306,1.2296,1.2285,1.2275,1.2265,1.2256,1.2246
xx,xx,xx,md,1.9846,1.983,1.9814,1.9798,1.9765,1.975,1.9735,1.9721,1.9707,1.9694,1.9681,1.9669,1.9658,1.9635,1.9604,1.98,2.1125,2.2641,2.3789,2.3762,2.3444,2.3313,2.307,2.2888,2.2685,2.2343,2.2006,2.1639,2.1284,2.1091,2.0828,2.0518,2.0237,2.0049,1.978,1.9479,1.9273,1.9228,1.9226,1.9276,1.928,1.9279,1.9278,1.9279,1.9279,1.9279,1.928,1.9262,1.9244,1.9226,1.9208,1.9189,1.9172,1.9154,1.9136,1.9119,1.9094,1.9085,1.9069,1.9058,1.9048,1.9029,1.9004,1.8973,1.8942,1.8912,1.8883,1.8854,1.8847,1.8841,1.8807,1.8767
xx,xx,xx,hi,2.9275,2.9192,2.911,2.902,2.8911,2.8803,2.8697,2.8592,2.8508,2.8429,2.8352,2.8276,2.8201,2.8128,2.8056,2.8343,2.9744,3.1772,3.3052,3.299,3.2549,3.2181,3.1822,3.1629,3.1431,3.1099,3.0771,3.0468,3.0124,2.9765,2.943,2.9042,2.8689,2.8335,2.7833,2.7362,2.7036,2.7029,2.708,2.7113,2.7112,2.7076,2.7039,2.7001,2.6962,2.6923,2.6883,2.6843,2.6803,2.6762,2.6721,2.6679,2.6638,2.6597,2.6557,2.6516,2.6477,2.6437,2.6399,2.6361,2.6323,2.6286,2.6249,2.6214,2.6178,2.6144,2.6109,2.6076,2.6043,2.6011,2.5979,2.5948
BRA,Baseline,All,lo,0.25046,0.25068,0.25091,0.25114,0.25137,0.25159,0.25182,0.25205,0.25228,0.25252,0.25275,0.25298,0.25321,0.25345,0.25368,0.25391,0.25415,0.25438,0.25461,0.25485,0.25508,0.25531,0.25555,0.25578,0.25601,0.25625,0.25648,0.25672,0.25695,0.25719,0.25742,0.25766,0.25789,0.25813,0.25836,0.2586,0.25883,0.25907,0.2593,0.25954,0.25978,0.26001,0.26025,0.26049,0.26072,0.26096,0.2612,0.26143,0.26167,0.26191,0.26214,0.26238,0.26262,0.26286,0.26309,0.26333,0.26357,0.26381,0.26405,0.26428,0.26452,0.26476,0.265,0.26524,0.26548,0.26572,0.26596,0.26621,0.26646,0.26671,0.26696,0.26721
xx,xx,xx,md,0.27579,0.2761,0.27642,0.27674,0.27706,0.27738,0.2777,0.27796,0.27819,0.27842,0.27864,0.27885,0.27907,0.27929,0.2795,0.27972,0.27993,0.28015,0.28037,0.28058,0.2808,0.28101,0.28126,0.28154,0.28182,0.2821,0.28235,0.28258,0.28281,0.28301,0.28328,0.28351,0.28374,0.28397,0.2842,0.28443,0.28466,0.28489,0.28512,0.28536,0.28563,0.28599,0.28635,0.28661,0.28682,0.28719,0.28745,0.28766,0.28787,0.28807,0.28837,0.28869,0.28904,0.28938,0.28972,0.29001,0.29032,0.29064,0.29097,0.29129,0.29162,0.29192,0.29216,0.29241,0.29265,0.29289,0.29323,0.29354,0.29376,0.29397,0.29419,0.29438
