27.24 (22.43 - 29.87),1.28 (0.88 - 1.49),0.99 (0.53 - 1.48)
27.32 (15.84 - 29.86),1.34 (0.89 - 1.49),1.15 (0.59 - 1.49)
22.98 (12.38 - 29.48),1.20 (0.64 - 1.48),1.10 (0.57 - 1.50)
25.24 (13.72 - 29.79),1.24 (0.69 - 1.49),1.12 (0.54 - 1.48)
24.60 (11.33 - 29.74),1.26 (0.69 - 1.49),1.16 (0.59 - 1.48)
25.48 (16.21 - 29.90),1.27 (0.80 - 1.49),1.06 (0.57 - 1.48)
