iso3,year,hiv,tb,ill_def,tb_seq,total,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,ghe.env,env,env.nm,vr.coverage,tb.adj,tb.adj.sd,pop,ihme.env,env.ratio
ARG,2006,1398,658,20818,27,291788,658,0.0713463199309087,0.0713463199309087,685,0.0394160583941606,0.00252795512418349,medium,100,100,66,72,yes,TRUE,292118.4,292118.4,15,0.998868951767502,738.462206148282,14.4086929554068,39476851,292904.31,0.997316837024351
ARG,2007,1413,650,24592,32,313014,650,0.0785651759985177,0.0785651759985177,682,0.0469208211143695,0.00236459077324199,medium,100,100,66,72,yes,TRUE,313577.6,313577.6,15,0.998202677742288,741.482699655366,16.1676659542706,39876111,302060.07,1.038129932235
ARG,2008,1381,570,24364,25,298907,570,0.0815103025355713,0.0815103025355713,595,0.0420168067226891,0.00216723791901451,medium,100,100,66,72,yes,TRUE,299336.4,299336.4,15,0.998565493538374,648.733196621294,14.6464321045432,40273769,299047.1,1.0009674061377
ARG,2009,1382,576,25757,36,300617,576,0.0856804505400559,0.0856804505400559,612,0.0588235294117647,0.00222658808120498,medium,100,100,66,72,yes,TRUE,301387.2,301387.2,15,0.997444483375538,671.065147347741,16.1914059673315,40684338,302237.7,0.997185989702807
ARG,2010,1307,504,26422,29,315412,504,0.0837697995003361,0.0837697995003361,533,0.0544090056285178,0.00184435447593342,medium,100,100,66,72,yes,TRUE,315976.5,315976.5,15,0.998213474736254,582.772672064777,13.6051374741999,41100123,309380.34,1.02132055320645
ARG,2011,1285,594,26410,31,315954,594,0.0835881172575755,0.0835881172575755,625,0.0496,0.00215856657364684,medium,100,100,66,72,yes,TRUE,316443.5,316443.5,15,0.99845312038326,683.064361547813,15.8646784197353,41520740,313927.67,1.0080140434897
ARG,2012,1422,553,24962,27,316258,553,0.0789292286677333,0.0789292286677333,580,0.046551724137931,0.00199110183456004,medium,100,100,66,72,yes,TRUE,316643.6,316643.6,15,0.998782227084331,630.469652861694,13.71533815507,41952365,317044.16,0.998736579787497
ARG,2013,1433,584,25731,29,322639,584,0.0797516729223684,0.0797516729223684,613,0.0473083197389886,0.00206461260727229,medium,100,100,66,72,yes,TRUE,322939,322939,15,0.999071031990562,666.743930779905,14.6139639737997,42388269,321617.88,1.00410773182138
ARG,2014,1458,562,22974,26,321446,562,0.0714707913615351,0.0714707913615351,588,0.0442176870748299,0.00197003404004396,medium,100,100,66,72,yes,TRUE,321699.5,321699.5,15,0.999211997531858,633.758965665121,12.3299977677861,42824054,324118.51,0.992536649634728
ARG,2015,1518,593,19214,22,328901,593,0.0584187947133028,0.0584187947133028,615,0.0357723577235772,0.00198587606195933,medium,100,100,66,72,yes,TRUE,330420.6,330420.6,15,0.995401013132958,656.17435991824,10.982747668453,43257065,331211.12,0.997613244386239
ARG,2016,1462,616,22375,23,348342,616,0.0642328516228304,0.0642328516228304,639,0.0359937402190923,0.00196032113680219,medium,100,100,66,72,yes,TRUE,349870.6,349870.6,15,0.995630956130638,685.858732325665,12.5737366006527,43668241,344291.48,1.01620464148576
ARG,2017,1445,578,20444,15,339748,578,0.0601740113260417,0.0601740113260417,593,0.0252951096121417,0.00185716433242302,medium,100,100,66,72,yes,TRUE,340933.8,340933.8,15,0.996521905425628,633.170093077444,10.7228084202253,44054616,348211.89,0.97909867466042
ARG,2018,1330,605,21759,19,334919,605,0.0649679474738668,0.0649679474738668,624,0.0304487179487179,0.00199259164644271,medium,100,100,66,72,yes,TRUE,336829.8,336829.8,15,0.994327105262064,671.16424575297,12.6822738090143,44413596,345616.16,0.974577693357857
ARG,2019,1255,576,23141,11,339718,576,0.0681182627944354,0.0681182627944354,587,0.0187393526405451,0.00185420924451239,medium,100,100,66,72,yes,TRUE,348916.4,348916.4,15,0.973637238031804,646.964014441984,16.5223847978889,44745520,348822.58,1.00026896194621
ARM,2000,,157,833,,24025,157,0.0346722164412071,0.0346722164412071,157,,0.00676957571576406,high,100,100,81,95,yes,TRUE,24575.01,24575.01,17,0.97761913423433,166.362390910659,2.48017473970929,3069597,24266.612,1.01270873742078
ARM,2001,,145,753,,24003,145,0.0313710786151731,0.0313710786151731,145,,0.00623655913978495,high,100,100,81,95,yes,TRUE,24580.31,24580.31,17,0.976513314925646,153.296556989247,2.19281658847705,3050686,24834.459,0.989766275963571
ARM,2002,1,167,779,,25554,167,0.0304844642717383,0.0304844642717383,167,,0.00674066599394551,high,100,100,81,95,yes,TRUE,26136.27,26136.27,17,0.977721763664058,176.175866397578,2.42000930021222,3033976,25256.454,1.0348352939807
