country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Democratic People's Republic of Korea,PRK,SEA,2014,Survey,0,A,362,,1.9,0.8,3.9,,0.3,0,1.5,,,,,,,,,,,,,,,,,,,,,,,2014,Survey,0,A,98,,15.3,8.8,24,,1,0,5.6,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,EUR,2012,Surveillance,1,A,1219,12,,,,0,,,,,,,,,,,,,,,,,,,,,,57,,,,2012,Surveillance,1,A,102,5,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,
Paraguay,PRY,AMR,2021,Surveillance,1,A,1639,1,,,,,,,,,,,,,1639,9,,,,4,,,,9,,,,,,,,2021,Surveillance,1,A,373,1,,,,,,,,,,,,,373,10,,,,3,,,,10,,,,,,,
"occupied Palestinian territory, including east Jerusalem",PSE,EMR,2020,Surveillance,1,N,13,0,,,,,,,,,,,,,13,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,WPR,2018,Surveillance,1,A,32,1,,,,,,,,,,,,,32,1,,,,1,,,,1,,,,,,,,2018,Surveillance,1,A,7,0,,,,,,,,,,,,,7,0,,,,0,,,,0,,,,,,,
Qatar,QAT,EMR,2021,Surveillance,1,N,411,5,,,,,,,,,,,,,411,5,,,,5,,,,5,,,,,,,,2020,Surveillance,1,A,3,1,,,,,,,,,,,,,3,1,,,,1,,,,1,,,,,,,
Romania,ROU,EUR,2021,Surveillance,1,A,4090,80,,,,,,,,,,,,,4303,115,,,,186,,,,109,,,,,,,,2021,Surveillance,1,A,1138,108,,,,,,,,,,,,,1226,141,,,,150,,,,135,,,,,,,
Russian Federation,RUS,EUR,2021,Surveillance,1,A,21391,7162,,,,,,,,,,,,,21391,7707,,,,9574,,,,7707,,,,,,,,2021,Surveillance,1,A,18831,12084,,,,,,,,,,,,,18831,12745,,,,13409,,,,12745,,,,,,,
Rwanda,RWA,AFR,2015,Survey,1,A,1033,,1.4,0.7,2.1,,0.1,0,0.5,,,,,,,,,,,,,,,,,,,,1,0.5,1.8,2015,Survey,1,A,84,,10.7,5,19.4,,0,0,4.3,,,,,,,,,,,,,,,,,,,,1.2,0,6.5
Saudi Arabia,SAU,EMR,2010,Survey,1,A,1609,,1.8,1.4,2.4,,0.8,0.5,1.2,,,,,,,,,,,,,,,,,,,,5.7,4.9,6.7,2010,Survey,1,A,295,,15.9,11.9,20.6,,4.4,4.1,4.7,,,,,,,,,,,,,,,,,,,,24.1,23.4,24.7
