iso3,scenario,hiv,measure,year,best,lo,hi
ARG,COVID,a,inc,2023,31.921,27.1924,39.399
ARG,Baseline,a,mort,2023,1.7352,1.5335,1.9497
ARG,COVID,a,mort,2023,2.0547,1.6953,2.4753
ARG,Baseline,a,inc,2024,27.8099,24.192,32.7375
ARG,COVID,a,inc,2024,30.7583,26.2588,37.5176
ARG,Baseline,a,mort,2024,1.7328,1.5238,1.9353
ARG,COVID,a,mort,2024,1.9319,1.6141,2.3197
ARM,Baseline,a,inc,2019,25.779,19.5897,33.3413
ARM,COVID,a,inc,2019,25.779,19.5897,33.3413
ARM,Baseline,a,mort,2019,1.579,1.376,1.8435
ARM,COVID,a,mort,2019,1.579,1.376,1.8435
ARM,Baseline,a,inc,2020,25.52,19.2733,33.1224
ARM,COVID,a,inc,2020,25.4085,19.1251,32.8131
ARM,Baseline,a,mort,2020,1.5574,1.3582,1.8118
ARM,COVID,a,mort,2020,1.7773,1.5389,2.0717
ARM,Baseline,a,inc,2021,25.2726,19.01,32.9273
ARM,COVID,a,inc,2021,27.452,20.4985,36.1087
ARM,Baseline,a,mort,2021,1.5402,1.3405,1.79
ARM,COVID,a,mort,2021,2.5162,2.1042,2.9908
ARM,Baseline,a,inc,2022,25.0152,18.781,32.7176
ARM,COVID,a,inc,2022,30.4493,22.9029,40.9573
ARM,Baseline,a,mort,2022,1.5223,1.3249,1.7774
ARM,COVID,a,mort,2022,2.6541,2.249,3.2513
ARM,Baseline,a,inc,2023,24.7148,18.5749,32.6313
ARM,COVID,a,inc,2023,29.4749,22.0804,40.5115
ARM,Baseline,a,mort,2023,1.5059,1.3098,1.7597
ARM,COVID,a,mort,2023,1.8952,1.5557,2.4925
ARM,Baseline,a,inc,2024,24.5218,18.4248,32.5954
ARM,COVID,a,inc,2024,27.7814,20.878,38.6034
ARM,Baseline,a,mort,2024,1.4918,1.2943,1.7416
ARM,COVID,a,mort,2024,1.724,1.406,2.2943
BHS,Baseline,a,inc,2019,15.0125,12.9655,17.373
BHS,COVID,a,inc,2019,15.0125,12.9655,17.373
BHS,Baseline,a,mort,2019,1.2955,0.9162,1.7997
BHS,COVID,a,mort,2019,1.2955,0.9162,1.7997
BHS,Baseline,a,inc,2020,14.937,12.8505,17.2111
BHS,COVID,a,inc,2020,14.788,12.6854,17.1786
BHS,Baseline,a,mort,2020,1.2807,0.9095,1.7824
BHS,COVID,a,mort,2020,1.4591,1.0396,2.0614
BHS,Baseline,a,inc,2021,14.8051,12.7393,17.1313
BHS,COVID,a,inc,2021,15.8465,13.2672,18.9564
BHS,Baseline,a,mort,2021,1.2731,0.89897,1.7658
BHS,COVID,a,mort,2021,1.8184,1.2964,2.5816
BHS,Baseline,a,inc,2022,14.7393,12.624,17.0567
BHS,COVID,a,inc,2022,16.9553,14.0282,21.2251
BHS,Baseline,a,mort,2022,1.2639,0.88985,1.7434
BHS,COVID,a,mort,2022,1.861,1.2736,2.6774
BHS,Baseline,a,inc,2023,14.6486,12.5162,16.9885
BHS,COVID,a,inc,2023,16.5878,13.6341,20.5923
BHS,Baseline,a,mort,2023,1.2549,0.8827,1.7231
BHS,COVID,a,mort,2023,1.4859,1.0034,2.1822
BHS,Baseline,a,inc,2024,14.5173,12.4137,16.9248
BHS,COVID,a,inc,2024,15.85,13.1866,19.6056
BHS,Baseline,a,mort,2024,1.2424,0.87687,1.7043
BHS,COVID,a,mort,2024,1.4063,0.95007,2.0519
BLR,Baseline,a,inc,2019,28.703,22.2059,37.326
BLR,COVID,a,inc,2019,28.703,22.2059,37.326
BLR,Baseline,a,mort,2019,3.1641,3.0801,3.2853
BLR,COVID,a,mort,2019,3.1641,3.0801,3.2853
BLR,Baseline,a,inc,2020,28.2178,21.9134,37.0272
BLR,COVID,a,inc,2020,28.0655,21.7009,36.7617
BLR,Baseline,a,mort,2020,3.1188,3.0173,3.2452
BLR,COVID,a,mort,2020,3.5672,3.3709,3.7389
BLR,Baseline,a,inc,2021,27.8714,21.6575,36.5829
BLR,COVID,a,inc,2021,30.1797,23.2607,39.4524
BLR,Baseline,a,mort,2021,3.0746,2.9641,3.2399
BLR,COVID,a,mort,2021,5.0553,4.4343,5.5798
BLR,Baseline,a,inc,2022,27.5745,21.3732,36.1392
BLR,COVID,a,inc,2022,33.5577,24.6843,47.1766
BLR,Baseline,a,mort,2022,3.0403,2.9011,3.2429
BLR,COVID,a,mort,2022,5.2979,4.8081,6.4184
BLR,Baseline,a,inc,2023,27.3103,21.1072,35.7205
BLR,COVID,a,inc,2023,32.6266,24.053,46.1084
BLR,Baseline,a,mort,2023,3.0053,2.8564,3.2462
BLR,COVID,a,mort,2023,3.7749,3.3971,4.8626
BLR,Baseline,a,inc,2024,27.0628,20.8652,35.4522
BLR,COVID,a,inc,2024,30.8814,23.0266,42.9581
BLR,Baseline,a,mort,2024,2.9755,2.8174,3.2497
BLR,COVID,a,mort,2024,3.4215,3.1252,4.4869
BLZ,Baseline,a,inc,2019,26.9615,23.015,31.4093
BLZ,COVID,a,inc,2019,26.9615,23.015,31.4093
BLZ,Baseline,a,mort,2019,2.7097,2.2823,3.1926
BLZ,COVID,a,mort,2019,2.7097,2.2823,3.1926
BLZ,Baseline,a,inc,2020,26.6945,22.7785,31.4178
BLZ,COVID,a,inc,2020,26.5818,22.5579,31.2231
BLZ,Baseline,a,mort,2020,2.6878,2.2598,3.1707
BLZ,COVID,a,mort,2020,3.087,2.5775,3.6152
BLZ,Baseline,a,inc,2021,26.5107,22.6103,31.4263
BLZ,COVID,a,inc,2021,28.3495,23.6264,34.1982
BLZ,Baseline,a,mort,2021,2.6633,2.2318,3.1508
BLZ,COVID,a,mort,2021,3.8105,3.1244,4.6115
BLZ,Baseline,a,inc,2022,26.3567,22.4151,31.3938
BLZ,COVID,a,inc,2022,30.7679,24.8673,38.1606
BLZ,Baseline,a,mort,2022,2.6353,2.2055,3.1344
BLZ,COVID,a,mort,2022,3.8138,3.1848,4.7321
BLZ,Baseline,a,inc,2023,26.2154,22.2936,31.2924
BLZ,COVID,a,inc,2023,30.0421,24.077,37.6599
BLZ,Baseline,a,mort,2023,2.6227,2.1838,3.1188
BLZ,COVID,a,mort,2023,3.0982,2.5485,3.8543
