iso3,inc.bc,inc.bc.sd,inc.bc.lo,inc.bc.hi
ABW,5.17451332837843,0.396008673090186,4.42744055241184,5.9789692521981
AFG,112.558080905706,23.1550479235377,71.835041415191,162.266909069134
AGO,244.537306683133,47.290801265186,160.769521488983,345.541819757609
AIA,15.7376002169177,3.14477531782051,10.1887478846612,22.4732022358562
ALB,10.8620946975254,0.854625883228671,9.25162029995812,12.5998748401594
AND,2.32506316465257,0.177938507498921,1.9893814482766,2.68652957039511
ARE,0.372810223541426,0.0285313946587826,0.31898567160507,0.430769279136804
ARG,22.1586793636511,1.86844527290676,18.6479895015191,25.9675975692748
ARM,15.8158922399476,2.29425722154764,11.6421863847757,20.6189754617285
ASM,2.63181996955665,0.201414793588519,2.25185010001129,3.04097633807452
ATG,3.94252335157319,0.301723725885704,3.37331996927128,4.55544817278366
AUS,3.03770993431187,0.232477801095297,2.59913950073517,3.50996799148817
AUT,2.91433148282585,0.223035572665244,2.49357387599758,3.36740850936458
AZE,42.3727530027136,4.81339396530966,33.4665190672653,52.3133665764026
BDI,58.8803990412295,12.1694339136684,37.4908892994201,85.0169251422644
BEL,4.51032961726883,0.34517828703588,3.85914883851375,5.21152835946276
BEN,39.9533208550445,8.39925387907839,25.2207558815491,58.0186909440508
BFA,30.5818615699843,6.26619124267224,19.5572148084641,44.0305185110769
BGD,143.150571290151,21.4855652240079,104.167658318304,188.223727805429
BGR,10.9847638861718,1.60076088022215,8.07373149643476,14.3369572949147
BHR,7.8488449697744,0.600676910952125,6.71566316589438,9.06906480803568
BHS,9.91085918670801,0.758484121431736,8.47997169705541,11.4516487115259
BIH,18.7086431607494,2.54954410295149,14.0483192783714,24.0261242196448
BLR,22.4385907881626,3.07105109158633,16.8267760214449,28.8453633479031
BLZ,21.7061540232394,2.06490629448961,17.8481120582932,25.9359802979833
BMU,2.86295929197088,0.219104027446751,2.4496185708606,3.30804974049561
BOL,72.0636665540506,15.0144385254192,45.6985480868371,104.331828699996
BRA,34.0449179646273,2.54761526691289,29.2345664505008,39.2161332857874
BRB,0.326740828867622,0.0250056756786446,0.279567555992277,0.377537692742314
BRN,38.9903058417591,2.98395197768564,33.3609900198463,45.0518622829289
BTN,79.3256542693315,10.1180681465984,60.7428068632956,100.348458666715
BWA,165.078724308306,21.856670600842,125.039150924157,210.584330321417
CAF,346.361806546712,69.2723613093429,224.104443664438,494.700589973762
CAN,3.88569199484964,0.297374387360941,3.32469367444783,4.48978153523981
CHE,3.63652960760157,0.278305837316447,3.11150425513745,4.20188313977317
CHL,9.84161643423554,0.753184931191495,8.42072595455685,11.3716411876389
CHN,41.5989057422368,3.26806360940728,35.4400501321581,48.2436945605445
CIV,86.1862122652873,18.5929693345219,53.6751788576607,126.263409119058
CMR,113.954858921475,24.4660281037748,71.1476532710007,166.6683298961
COD,209.76585026919,42.0801821063187,135.535247892282,299.908419168329
COG,223.74995328342,48.0871753906161,139.614260979606,327.35518156743
COK,8.3341615587723,0.63781848664074,7.13091165335299,9.62983086431726
COL,27.3721966665127,3.2136575861195,21.4380517022991,34.0201636469217
COM,18.7668728436298,3.74544704248752,12.1572002633799,26.7881870203292
CPV,26.2329329253779,3.764814401803,19.3781712265417,34.1094121992164
CRI,7.25064147496704,1.01924739747376,5.39190651143015,9.38038329928764
CUB,4.9186049943619,0.426684797273974,4.11790720586918,5.78937819286398
CUW,6.05902222671984,0.463700680616315,5.18424777240846,7.00098806542642
CYM,2.87083026095082,0.219706397521747,2.45635316478081,3.31714436974255
CYP,2.80618507890115,0.214759062160803,2.40104116282851,3.24244912365015
CZE,2.77104920301046,0.212070092067127,2.37097804618698,3.20185084817681
DEU,2.84595192534563,0.145201628844165,2.56844215466899,3.13749215366042
DJI,93.1831517500945,13.323058301909,68.9170099770375,121.049121493961
DMA,11.6661907829197,0.892820723182632,9.98187489831213,13.4798714108895
DNK,2.1972336205657,0.168155634226967,1.88000734969064,2.53882699645132
DOM,32.3963428604641,4.39880322278344,24.3535179076033,41.5687183136843
DZA,12.7996149064482,1.81860975683067,9.4858432920149,16.6020867930676
ECU,32.9700433165859,4.64737087440166,24.4965507478366,42.6822757416125
EGY,4.30184150180591,0.303961595867995,3.72668268704924,4.91766883569929
ERI,38.694788475777,14.0701226380804,16.2247789988429,70.756651935565
ESP,4.65521996129349,0.356266833772461,3.9831205398555,5.37894405466028
EST,7.12243813392951,0.545084551066034,6.09413204559539,8.22972749815558
ETH,65.9091666318606,12.1111213056073,44.3430187798707,91.6780258013391
FIN,1.94182071904662,0.148608728498466,1.66146979050903,2.24370630322559
FJI,41.5062535423814,5.29416499265069,31.7832232705609,52.5064381455169
FRA,4.17964188537144,0.266558793709914,3.67347868032951,4.71799737450594
FSM,56.4975016358952,7.20631398417033,43.2625759920111,71.4706089217327
GAB,356.762910628632,73.9661081215862,226.764594440808,515.62099596686
GBR,4.07117469651774,0.207712994720293,3.6741929014528,4.48822701557049
GEO,40.2904702295252,4.00596193408054,32.8225593153212,48.5120464237967
GHA,101.668997746459,33.4202113374823,47.085760403403,176.876263824625
GIN,104.868707481985,21.6014881571749,66.8840973750052,151.247747934571
GMB,111.936724091444,16.7255764732757,81.579803887055,147.014953657483
GNB,283.624998074609,56.7249996149217,183.518560001955,405.101593219504
GNQ,199.277108582916,41.0154355213928,127.140648465597,287.325324559312
GRC,2.62163747917247,0.20063552136524,2.24313771147098,3.02921082645552
GRD,2.58285318034423,0.265182885701051,2.08935130609545,3.12788975686753
GRL,50.6421270807894,3.87567299087674,43.3305202096736,58.5150798566705
