variable,mean,sd,rhat,ess_bulk
"beta[1,1]",0.918233577168581,0.680619727077571,1.53690097089343,3.63181990401818
"beta[2,1]",0.693101443853377,0.304920911703082,1.03504016606012,95.0509692219313
"beta[3,1]",1.03170159271421,0.376263206181087,1.00802097417939,117.779309653385
"beta[4,1]",0.873091474215436,0.322209283191288,1.03623570596954,122.199235318214
"beta[5,1]",1.74061298077249,0.373190372028453,1.04671431870523,80.0285641276307
"beta[6,1]",0.589337093222603,0.444809029062155,1.02484171244955,148.413323997927
"beta[7,1]",1.223267602077,0.323166862846859,0.999771494715021,151.769727001308
"beta[1,2]",1.19179115957571,0.993863350270031,1.30574192919752,5.151524087743
"beta[2,2]",0.591517597990814,0.394937989881443,1.05049617256916,82.2266616383409
"beta[3,2]",0.629907081084365,0.519082790968854,1.03868075753887,111.628236993218
"beta[4,2]",0.22959527054445,0.430005302895875,1.0813683739742,26.0484766644062
"beta[5,2]",1.07213987057165,0.704964779287494,1.49463594007182,3.90693379413916
"beta[6,2]",0.847386764603594,0.54648493444629,1.02827261535302,213.348441392715
"beta[7,2]",0.335167637014361,0.435938910751998,1.03454544846574,98.2103941875369
"beta[1,3]",1.16264195960381,0.577033822947984,1.16070890943938,11.1254609492679
"beta[2,3]",0.929414076958767,0.287021502028662,1.06627971944963,37.2898113354175
"beta[3,3]",0.790196293559604,0.362742616217334,1.00198733987318,139.98653528602
"beta[4,3]",0.830508641583347,0.290960146907593,1.07506719250503,58.7383678123902
"beta[5,3]",1.56321449943491,0.384437777337556,1.06389625568834,48.4897137595353
"beta[6,3]",-0.124760888464126,0.448100195215022,1.00265283923914,223.83731943595
"beta[7,3]",0.590618600047474,0.291848340926749,1.00133950266344,99.0403141611592
"beta[1,4]",1.540093164144,0.635700618374686,1.33567992608014,4.81037328828638
"beta[2,4]",0.620822967496369,0.361309758048464,1.02578357194735,82.136104137336
"beta[3,4]",1.13069557326772,0.413091396487763,1.03351686858983,89.5613301080486
"beta[4,4]",0.370012147989998,0.347093343354455,1.03155293662084,126.597034786359
"beta[5,4]",0.79033108689193,0.449307652408743,1.0212152874135,100.038758965077
"beta[6,4]",0.690415492821129,0.525407024852067,1.00574472945097,208.868798436489
"beta[7,4]",1.30991233977652,0.339144697419183,1.00337914805702,146.964618132586
"beta[1,5]",1.39968800999361,0.853502879146907,1.17322695369875,9.00857169940272
"beta[2,5]",1.14209730039749,0.448570191436516,1.07188754635366,34.7693473997624
"beta[3,5]",1.72785071818542,0.561294477904462,0.998947361362845,161.332181078579
"beta[4,5]",0.566047903541149,0.499658955062457,1.11970725213604,13.0206167016207
"beta[5,5]",1.68081305458697,0.601859668805601,1.0075883371656,162.117297741392
"beta[6,5]",1.88005591920392,0.590975576170838,1.00737294976023,214.153674151056
"beta[7,5]",0.747763070147333,0.459762377319404,1.06069936316756,28.8556448455067
"beta[1,6]",0.680141436195061,0.611830952826239,1.07305927807459,16.2231338593446
"beta[2,6]",0.761385232421286,0.316249054891623,1.04877202584138,63.4279757596089
"beta[3,6]",0.683734946189632,0.414549427720703,1.0259122286853,100.732920133301
"beta[4,6]",0.620135453883103,0.326345389183791,1.02458889133546,148.081640419378
"beta[5,6]",0.721427778795993,0.382094753089649,1.01350907130239,173.462426594983
"beta[6,6]",1.19127144177605,0.471085591709921,1.02029084992126,129.242696600426
"beta[7,6]",0.859332893505185,0.31409496347788,1.01987797358386,161.66594593884
"alpha[1,1]",0.0224518611052814,0.0143823109646665,1.0512046117342,27.6554146506729
"alpha[2,1]",0.0083023531509469,0.0164069164723205,1.02396103211651,83.3429994009242
"alpha[3,1]",-0.0251751685636598,0.0230875069863591,1.04564933080072,46.3500937078959
"alpha[4,1]",-0.00135697066059005,0.018009195062189,1.02419749587816,45.3292527676579
