variable,mean,sd,rhat,ess_bulk
"beta[1,1]",0.469687290233086,1.14737936201805,1.93073005666095,2.85007346141889
"beta[2,1]",0.640541895606701,0.28788073645596,1.06766079221095,28.3824287668764
"beta[3,1]",0.730575786367215,0.36520995111106,1.00375674713767,115.870490416287
"beta[4,1]",0.670328844482373,0.310483014269606,1.04022530854362,57.5639269960582
"beta[5,1]",1.70950267770425,0.385493585776951,1.01878985388477,83.3661739660051
"beta[6,1]",0.395547037290727,0.442115172222791,1.00544886927139,119.56241555378
"beta[7,1]",1.24465488566734,0.337523574497808,1.04573634506747,72.3622875659712
"beta[1,2]",-0.206399298105491,0.819985256039315,1.19673007939217,9.8186724334114
"beta[2,2]",0.808256790446891,0.290926289285669,1.01721704545297,152.352845052335
"beta[3,2]",0.280590272065857,0.358247547940802,1.01276718245172,142.40004697647
"beta[4,2]",0.270902698547813,0.306941046029582,1.02804484393027,153.080141016029
"beta[5,2]",0.597091271703816,0.420720257014377,1.01406037515973,290.674868359266
"beta[6,2]",0.82536730126007,0.426492017285419,1.00518142458474,396.245016261342
"beta[7,2]",0.223256562963726,0.324473556077231,1.00215366651722,201.620357754988
"beta[1,3]",0.0981628130385252,0.634516587989331,1.2126554626245,6.83370743115713
"beta[2,3]",0.801762409067289,0.271596123621698,1.06291530292492,35.4369512480453
"beta[3,3]",0.605097609469981,0.364831408378355,1.01542298287272,117.24403022836
"beta[4,3]",0.612787971044577,0.289672474973789,1.02577611228606,121.458701915282
"beta[5,3]",1.31148742906789,0.390797569938257,1.02327360965557,92.5624343377619
"beta[6,3]",-0.25765692999391,0.453689830778406,1.02182581296655,138.986862152358
"beta[7,3]",0.516901176719562,0.310796121335392,1.04365010487581,58.1197793365265
"beta[1,4]",0.509897002185578,0.911252628425128,1.87310198530387,2.90559783840093
"beta[2,4]",0.595233124288243,0.266616830274491,1.03040578264475,64.4612283828112
"beta[3,4]",0.414054156376594,0.314837676395141,1.00687615635582,141.265375513125
"beta[4,4]",0.292391923917889,0.271031524299772,1.02772980687189,104.842812858132
"beta[5,4]",0.450892013493228,0.378916129333736,1.02212293962322,72.4672332523256
"beta[6,4]",0.433542264418969,0.469615801793901,0.999664663846016,386.380142552515
"beta[7,4]",0.646053284325273,0.274958655410017,1.02309211597169,138.285531413172
"beta[1,5]",0.626937556681398,0.76508464522117,1.16729911561249,11.4993403613689
"beta[2,5]",1.30757571850339,0.363742617986808,1.02967513849638,148.43813466741
"beta[3,5]",0.802057243132269,0.444907998428704,1.01518148216117,132.079136888493
"beta[4,5]",0.712100520473593,0.391804342969534,1.02601191909419,149.87974906259
"beta[5,5]",1.66024116495169,0.516476463849212,1.01446202566451,218.58825460493
"beta[6,5]",2.04996394840266,0.474998370561285,1.00103242238469,368.885248139363
"beta[7,5]",0.59636968839245,0.384737279697866,1.00635725582054,219.873385205724
"beta[1,6]",0.506989559481282,0.506408870964088,1.29700227475079,5.45269543151808
"beta[2,6]",0.440898297981221,0.272610577137259,1.02360445633685,111.163105624379
"beta[3,6]",0.768418147723957,0.335323210597459,1.009294470857,147.306176900362
"beta[4,6]",0.39039983219535,0.31160832076951,1.01066751098406,124.476411089227
"beta[5,6]",0.411610829293425,0.390855410557342,1.00567062334486,198.599959445744
"beta[6,6]",0.783880015944578,0.394217842000613,0.999297136441402,344.362502537973
"beta[7,6]",0.540056112556117,0.304622127907288,1.02375771682099,75.652912734655
"alpha[1,1]",0.0260984220768441,0.00993504206016484,1.00747510972979,132.945402907931
"alpha[2,1]",0.00221948434580081,0.0162312386752064,1.00193204306599,129.982692289577
"alpha[3,1]",-0.028653601306271,0.0195034096333067,1.00972828831274,140.22934784508
"alpha[4,1]",-0.00728534499536893,0.0141845347672884,1.01011634059044,111.675818331085
"alpha[5,1]",-0.0444668410774343,0.0188360416749949,1.00581561980719,191.123302946137
"alpha[6,1]",0.0535174558949925,0.0248024821765505,1.00107236683298,256.925786025293
"alpha[7,1]",-0.0384596089884867,0.0169868950337281,1.01184686903211,134.526706981247
"alpha[1,2]",0.0187224501641268,0.0126290513287318,1.03051077358233,92.5082103049266
"alpha[2,2]",-0.0581475965628181,0.0190736535351842,1.00748503173063,145.10536680272
"alpha[3,2]",0.00473966152559258,0.0231688873258411,1.00060064287652,271.199118541272
"alpha[4,2]",-0.0208618790553631,0.0190190986416663,1.0105412798291,212.743502872319
"alpha[5,2]",-0.0251871017861203,0.0262177415550916,1.01188745123772,308.848586208597
"alpha[6,2]",-0.0089974257849699,0.0281674120659668,1.0057980498086,376.182596893762
"alpha[7,2]",-0.0105292386889876,0.0208354132424497,1.0016452953483,203.829387221511
"alpha[1,3]",0.0110025138683549,0.011185457055577,1.02530919049986,92.5116613858979
"alpha[2,3]",-0.0301800041053127,0.0166127128861607,1.00342328523369,115.989430063966
"alpha[3,3]",-0.00361969189159381,0.0196503815442933,1.02334635925622,96.9826867108646
"alpha[4,3]",-0.0109888919228378,0.0154364595676976,1.00176699022596,123.199123949582
"alpha[5,3]",-0.0309386407173508,0.0205162298620072,1.00863124662151,148.582784713715
"alpha[6,3]",0.0990120793736771,0.0278346969464052,1.00307753199227,224.46044528367
"alpha[7,3]",-0.00191047574027874,0.0174845253404956,1.02682650026021,100.303011965313
"alpha[1,4]",0.0376965307691866,0.01125331220148,1.00729953584421,181.281974062017
"alpha[2,4]",-0.0171415738746705,0.0177170076328022,1.01456099657804,143.972755384415
"alpha[3,4]",-0.0100566294518195,0.0224336040320469,1.00913263916025,148.748729519069
"alpha[4,4]",0.0011286617332475,0.0165546288239161,1.00447792894143,191.913984492594
"alpha[5,4]",0.0167698110426859,0.0225806923994185,1.00920832359214,375.871888320533
"alpha[6,4]",0.0449162382289614,0.030017868431117,1.00133462715524,583.127750588026
"alpha[7,4]",-0.0258022835994073,0.0180407566736148,1.00266902459401,171.598718410968
"alpha[1,5]",0.0545791551950159,0.014260474633919,1.00364688983598,201.198738063365
"alpha[2,5]",-0.0773131779029465,0.0205769296701799,1.00880766206588,269.159759785967
"alpha[3,5]",-0.0377843897412214,0.0251312572953466,1.00147573283238,314.462169148822
"alpha[4,5]",-0.0321570881672357,0.0193530701443523,1.00586713564281,300.922095967219
"alpha[5,5]",-0.0993565640313714,0.0290100751819069,1.00428814497091,328.333864146511
"alpha[6,5]",-0.0579167389655105,0.0276713059100409,0.999268405429001,456.137896282151
"alpha[7,5]",-0.00485533147885756,0.0235575639173099,1.00392991361252,256.396532107569
"alpha[1,6]",0.0537612641281316,0.0102742151346416,1.0172756078908,96.102211227708
"alpha[2,6]",-0.0240275278511952,0.0153891843715849,1.04574844966627,67.3738893400157
"alpha[3,6]",-0.0449128542925305,0.0192311035324215,1.01069381886971,153.985981259799
"alpha[4,6]",-0.00927131884257108,0.0159216969259113,1.04722970018188,42.2890044233974
"alpha[5,6]",-0.000594955900736135,0.0205313868229717,1.00215983731701,167.805937758394
"alpha[6,6]",0.0185909415592214,0.0265442354639206,1.02396429029622,308.430456587775
"alpha[7,6]",-0.0143022136561599,0.0155017457366574,1.00117360485389,111.990436364743
