variable,mean,sd,rhat,ess_bulk
"beta[1,1]",-3.5400813520325,0.277229030567512,1.39457836783489,4.4461317578675
"beta[2,1]",0.46725748093802,0.208977987250847,1.0250574255293,123.292614181991
"beta[3,1]",0.120393626447214,0.275959282507834,1.00982270424483,179.241615273487
"beta[4,1]",0.138699459441111,0.231413578951599,1.0115653678471,76.4220525521485
"beta[5,1]",0.448049875690695,0.296057985160701,1.01562992871745,119.45948794236
"beta[6,1]",-0.278522905890464,0.334454268457621,1.00208267258813,265.960997143963
"beta[7,1]",-0.0338043934638053,0.222429941750343,1.00498212657085,143.475721734439
"beta[1,2]",-1.91968223635818,0.319829725927678,1.45983814502363,3.98222043242785
"beta[2,2]",0.424431971654192,0.237982209870139,1.02696973969519,106.998957554734
"beta[3,2]",0.535353913462019,0.305811014770302,1.01484067268284,126.883493059548
"beta[4,2]",0.145550654635292,0.276591943551916,1.02677560919622,61.8649999518951
"beta[5,2]",0.333069725528515,0.331848842511525,1.02566282300605,141.776254712394
"beta[6,2]",0.670860071181252,0.368790176806104,1.00135789695599,240.320758573184
"beta[7,2]",0.19955079459356,0.254162955208731,1.01039995518565,118.328622037655
"alpha[1,1]",0.00562804013387769,0.0102593151248943,1.02936046080216,143.12351764136
"alpha[2,1]",-0.0418473001057611,0.0148510607315447,1.03165909374009,154.133308446436
"alpha[3,1]",0.00259898573941572,0.0181854593073312,1.01032480391523,247.453834530301
"alpha[4,1]",-0.00440370140276438,0.0145340475253366,1.02543949051651,128.798713892733
"alpha[5,1]",-0.0216643707934485,0.0200597941940682,1.01657575561379,270.350914587219
"alpha[6,1]",0.0445867926845629,0.0229699385338093,1.00149287225467,497.123929906979
"alpha[7,1]",-0.00178247085303376,0.0164030553585468,1.02322004178247,162.78072146352
"alpha[1,2]",0.0438431246073695,0.00979526841816708,1.0005611413383,198.332627060044
"alpha[2,2]",-0.038485622670939,0.0150987235113266,1.0070868169332,192.030860294139
"alpha[3,2]",-0.0461445970868144,0.0192431839294499,1.00127403191605,287.043988557391
"alpha[4,2]",-0.0144128851892559,0.0157730165635886,1.00523499829318,206.738845156233
"alpha[5,2]",-0.0166464161427843,0.0196604167638299,1.00004867275883,318.847070065408
"alpha[6,2]",-0.00285140567281373,0.0237980652969645,0.999562585136617,450.476421856745
"alpha[7,2]",-0.0167726102033863,0.014848750039599,1.00244612167399,263.719723151667
