model,H,H.sd,MAPE,MAE,U,C
separate_global_4,2259.2514072728,,84.5249453750519,16.2075055510757,17.5881885614511,45.9365107913669
separate_LerouxInterceptLerouxSlope_2,3237.52621246153,,70.6454455178509,15.3942095094687,26.3291135564132,44.0427158273381
together_LerouxIntercept_4,3315.72349292971,,74.2315928203253,15.5464630949683,22.8684348707788,45.7296762589928
together_LerouxInterceptLerouxSlope_2,3343.94873225259,,72.4807680946572,14.9636639376903,25.1820982331016,44.6589928057554
