varnames
year
iso3
country
d014f
d014f.lo
d014f.hi
d014m
d014m.lo
d014m.hi
d014
d014.lo
d014.hi
d15f
d15f.lo
d15f.hi
d15m
d15m.lo
d15m.hi
d15
d15.lo
d15.hi
h014f
h014f.lo
h014f.hi
h014m
h014m.lo
h014m.hi
h014
h014.lo
h014.hi
h15f
h15f.lo
h15f.hi
h15m
h15m.lo
h15m.hi
h15
h15.lo
h15.hi
inch014f
inch014f.lo
inch014f.hi
inch014m
inch014m.lo
inch014m.hi
inch014
inch014.lo
inch014.hi
inch15f
inch15f.lo
inch15f.hi
inch15m
inch15m.lo
inch15m.hi
inch15
inch15.lo
inch15.hi
pop014f
pop04m
pop014
pop15f
pop15m
pop15
