country,measure,sex,age,cause,metric,year,val,upper,lower,iso3
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2002,47967.447,103775.25,15245.668,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2002,556461.92,598620.55,514484.08,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2003,483943.08,536529.55,423071.24,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2003,1019.6599,2250.0549,352.44966,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2003,49021.748,98885.071,17494.075,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2003,533984.48,574608.5,493490.01,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2004,452253.41,499967.44,397575.06,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2004,1099.8732,2307.2398,419.80764,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2004,48454.489,92313.743,19186.021,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2004,501807.77,541015.31,465433.92,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2005,447452.64,493010.03,395606.32,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2005,1235.4046,2409.5195,513.74765,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2005,50221.433,90341.45,22380.953,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2005,498909.48,537581.94,459282.99,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2006,438963.3,484563.77,390745.34,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2006,1362.3624,2533.5743,586.45054,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2006,51432.469,91368.505,23952.985,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2006,491758.13,529414.14,457064.72,IND
