Region,saved.hivneg,saved.hivneg.ui,saved.hivpos,saved.hivpos.ui,saved,saved.ui
AFR,7.12,(5.97-8.27),8.52,(7.21-9.84),15.6,(13.9-17.4)
AMR,1.92,(1.77-2.08),0.359,(0.326-0.392),2.28,(2.13-2.44)
EMR,5.21,(4.6-5.82),0.0969,(0.0773-0.117),5.31,(4.7-5.92)
EUR,2.13,(1.87-2.38),0.315,(0.277-0.353),2.44,(2.18-2.7)
SEA,29.5,(24.7-34.3),2.89,(1.96-3.81),32.4,(27.5-37.3)
WPR,15.6,(14.2-17.1),0.504,(0.417-0.591),16.1,(14.7-17.6)
Global,61.5,(54.5-68.5),12.7,(10.9-14.4),74.2,(67-81.4)
