iso3,lo,hi,ystart,curtrends,cr,ps,overdx,newdta,ref
MYS,1,1.3,2000,,0,0,0,,
NAM,,,,,0,0,0,1,PS 2018
NCL,1,1.3,2000,,0,0,0,,
NER,,,,1,0,0,0,,
NGA,,,,1,0,1,0,,
NIC,1,1.5,2000,,0,0,0,,Lima mt 2016
NIU,1,1.3,2000,,0,0,0,,
NLD,1,1.3,2000,,1,0,0,,CR late 90s
NOR,1,1.3,2000,,0,0,0,,
NPL,,,,1,0,0,0,,
NRU,1,1.3,2000,1,0,0,0,,
NZL,1,1.3,2000,,0,0,0,,
OMN,1,1.3,2000,,0,0,0,,
PAK,,,,1,0,1,0,,
PAN,1,1.5,2000,,0,0,0,,Lima mt 2016
PER,1,1.5,2000,,0,0,0,,Lima mt 2016
PHL,,,,1,0,1,0,,
PLW,1,1.3,2000,,0,0,0,,
PNG,,,,1,0,0,0,,
POL,1,1.3,2000,,0,0,0,,
PRI,1,1.3,2000,,0,0,0,,Lima mt 2016
PRK,,,,0,0,1,0,1,new PS 2017
PRT,1,1.3,2000,,0,0,0,,
PRY,1,1.3,2000,,0,0,0,,Lima mt 2016
PSE,1,1.5,2000,,0,0,0,,
PYF,1,1.3,2000,,0,0,0,,
QAT,1,1.3,2000,,0,0,0,,
ROU,1,1.3,2000,,0,0,0,,
RUS,,,,1,0,0,1,,epi review 2017
RWA,1,1.5,2000,1,0,1,0,,
SAU,1,1.3,2000,,0,0,0,,
SCG,1,1.3,2000,,0,0,0,,
SDN,,,,1,0,1,0,,
SEN,,,,1,0,0,0,,
SGP,1,1.3,2000,,0,0,0,,
SLB,1,1.5,2000,,0,0,0,,
SLE,,,,1,0,0,0,,
SLV,1,1.5,2000,,0,0,0,,Lima mt 2016
SMR,1,1.3,2000,,0,0,0,,
SOM,,,,1,0,0,0,,
SRB,1,1.3,2000,,0,0,0,,
SSD,,,,1,0,0,0,,
STP,1,2.5,2000,,0,0,0,,
SUR,1,1.5,2000,,0,0,0,,Lima mt 2016
SVK,1,1.3,2000,,0,0,0,,
SVN,1,1.3,2000,,0,0,0,,
SWE,1,1.3,2000,,0,0,0,,
SWZ,1,1.5,2000,,0,0,0,,provisional 2017
SXM,1,1.3,2000,,0,0,0,,Lima mt 2016
SYC,1,1.3,2000,,0,0,0,,
SYR,1,1.5,2000,,0,0,0,,
TCA,1,1.3,2000,,0,0,0,,Lima mt 2016
TCD,,,,1,0,0,0,,
TGO,,,,1,0,0,0,,
THA,,,,1,0,1,0,,
TJK,,,,1,0,0,0,,
TKL,1,1.5,2000,,0,0,0,,
TKM,1,1.5,2000,,0,0,0,,
TLS,,,,1,0,0,0,,
TON,1,1.3,2000,,0,0,0,,
TTO,1,1.3,2000,,0,0,0,,Lima mt 2016
TUN,1,1.5,2000,,0,0,0,,
TUR,1,1.3,2000,,0,0,0,,
TUV,1,1.3,2000,,0,0,0,,
TZA,,,,1,0,1,0,,
UGA,,,,1,0,1,0,,
UKR,,,,1,0,0,0,,
URY,1,1.3,2000,,0,0,0,,Lima mt 2016
USA,1,1.3,2000,,0,0,0,,
UZB,,,,1,0,0,0,,
VCT,1,1.3,2000,,0,0,0,,Lima mt 2016
VEN,1,1.5,2000,,0,0,0,,Lima mt 2016
VGB,1,1.3,2000,,0,0,0,,Lima mt 2016
VIR,,,,1,0,0,0,,
VNM,,,,1,0,1,0,1,PS 2018
VUT,,,,1,0,0,0,,
WLF,1,1.3,2000,,0,0,0,,
WSM,1,1.3,2000,,0,0,0,,
YEM,,,,1,1,0,0,,CR
ZAF,,,,1,0,0,0,,
ZMB,,,,1,0,1,0,,
ZWE,,,,1,0,1,0,,
