g.whoregion,mid,lo,hi,M014.mid,M014.lo,M014.hi,F014.mid,F014.lo,F014.hi,M15plus.mid,M15plus.lo,M15plus.hi,F15plus.mid,F15plus.lo,F15plus.hi
AFR,135 000,110 000,164 000,9 220,6 290,12 100,8 250,5 630,10 900,58 000,39 600,76 400,60 000,41 000,79 100
AMR,9 090,8 160,10 100,63,54,71,55,48,63,7 050,6 140,7 970,1 920,1 670,2 170
EMR,2 870,2 390,3 400,111,86,137,99,76,121,2 150,1 660,2 640,516,398,634
EUR,7 640,6 510,8 860,51,42,61,45,36,53,5 960,4 820,7 100,1 580,1 280,1 880
SEA,24 700,22 500,27 100,1 430,1 230,1 620,1 260,1 090,1 430,15 800,13 700,17 900,6 270,5 430,7 120
WPR,7 490,2 400,15 400,204,<0.1,425,181,<0.1,376,5 880,<0.1,12 300,1 220,<0.1,2 540
